setting,regime,detector,seed,n_train,n_val,n_test,n_real_test,n_synth_test,threshold,f1,precision,recall,auroc,avg_precision,real_det,synth_det,normal_fpr,fit_time_sec,note
controlled_500,all_origins,TimesNet-lite,0,300,100,100,25,25,0.46,0.647887323943662,0.5,0.92,0.6952,0.7432436934258001,0.96,0.88,0.92,1.9919672012329102,ok_e2e
controlled_500,all_origins,InceptionTime-lite,0,300,100,100,25,25,0.21000000000000002,0.7111111111111111,0.5647058823529412,0.96,0.6672,0.681924043588827,0.96,0.96,0.74,5.6334922313690186,ok_e2e
controlled_500,all_origins,PatchTST,0,300,100,100,25,25,0.17,0.6861313868613139,0.5402298850574713,0.94,0.6527999999999999,0.6734899553267166,0.92,0.96,0.8,8.371241092681885,ok_e2e
controlled_500,all_origins,MOMENT,0,300,100,100,25,25,0.01,0.6666666666666666,0.5,1.0,0.3272,0.3933325739823148,1.0,1.0,1.0,1.9389591217041016,ok_foundation
controlled_500,all_origins,Toto,0,300,100,100,25,25,0.5700000000000001,0.7956989247311828,0.8604651162790697,0.74,0.8512000000000001,0.8132167741304392,0.84,0.64,0.12,2.648026943206787,ok_foundation
controlled_500,all_origins,Mantis,0,300,100,100,25,25,0.63,0.7415730337078652,0.8461538461538461,0.66,0.8792,0.8859317251855345,0.88,0.44,0.12,1.2806026935577393,ok_foundation
controlled_500,synthetic_only,TimesNet-lite,0,225,75,100,25,25,0.01,0.6666666666666666,0.5,1.0,0.6748,0.7168741007467775,1.0,1.0,1.0,1.3034162521362305,ok_e2e
controlled_500,synthetic_only,InceptionTime-lite,0,225,75,100,25,25,0.5,0.6238532110091743,0.576271186440678,0.68,0.6368,0.6308516108491298,0.44,0.92,0.5,4.3677849769592285,ok_e2e
controlled_500,synthetic_only,PatchTST,0,225,75,100,25,25,0.18000000000000002,0.6842105263157895,0.609375,0.78,0.6616,0.6619729232438146,0.8,0.76,0.5,6.62696099281311,ok_e2e
controlled_500,synthetic_only,MOMENT,0,225,75,100,25,25,0.01,0.6666666666666666,0.5,1.0,0.328,0.3936670658916124,1.0,1.0,1.0,1.1398141384124756,ok_foundation
controlled_500,synthetic_only,Toto,0,225,75,100,25,25,0.54,0.5641025641025641,0.7857142857142857,0.44,0.6988000000000001,0.7467648408183851,0.12,0.76,0.12,1.3556687831878662,ok_foundation
controlled_500,synthetic_only,Mantis,0,225,75,100,25,25,0.51,0.6585365853658537,0.84375,0.54,0.8004,0.8253202897980019,0.28,0.8,0.1,0.519158124923706,ok_foundation
controlled_500,all_origins,TimesNet-lite,1,300,100,100,25,25,0.44,0.6338028169014085,0.4891304347826087,0.9,0.5568,0.6007122303997474,1.0,0.8,0.94,1.571578025817871,ok_e2e
controlled_500,all_origins,InceptionTime-lite,1,300,100,100,25,25,0.39,0.6865671641791045,0.5476190476190477,0.92,0.6784000000000001,0.6833117253724498,0.92,0.92,0.76,1.7095000743865967,ok_e2e
