setting,regime,detector,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auroc_mean,auroc_std,avg_precision_mean,avg_precision_std,real_det_mean,real_det_std,synth_det_mean,synth_det_std,normal_fpr_mean,normal_fpr_std,fit_time_sec_mean,fit_time_sec_std,n_seeds
balanced_detection,synthetic_only,InceptionTime-lite,0.6696352594250814,0.022124881542503617,0.5785040547585037,0.03719903518583793,0.8060728744939272,0.08883234463590571,0.6748266649182908,0.05101066079296471,0.7054385104710313,0.05242532933581984,0.5484848484848485,0.1910933854722016,0.9,0.07280576440623428,0.5995951417004048,0.15389882376105934,27.88655004501343,15.04136332568108,10
balanced_detection,synthetic_only,MOMENT,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.46123440803815835,0.07814597977054773,0.4744418743348251,0.053654451519307214,1.0,0.0,1.0,0.0,1.0,0.0,6.135367012023925,3.575574324138216,10
balanced_detection,synthetic_only,Mantis,0.7959948954480152,0.010609422376894412,0.8766918432612657,0.018415634235925734,0.7295546558704453,0.022886334062834083,0.8609598583815503,0.014242147588636697,0.8950918880868903,0.007878409889080411,0.20303030303030303,0.042376115077581884,0.9215469613259669,0.02454266114026913,0.10323886639676112,0.01976493726838976,2.2937972784042358,1.2564651464777914,10
balanced_detection,synthetic_only,PatchTST,0.7143724794233396,0.0078886114412878,0.7159954796070569,0.036278353805807836,0.7157894736842105,0.034869037213967426,0.7778229441557803,0.00671746668697867,0.8189685598884523,0.0040701423503636995,0.2015151515151515,0.05251068173967689,0.9033149171270718,0.030953473874717505,0.2882591093117409,0.06372286152096301,38.555557298660275,13.610094400472121,10
balanced_detection,synthetic_only,TimesNet-lite,0.6548688565095827,0.010995339419140505,0.564454841344251,0.0157441995906323,0.7829959514170041,0.047260451132223026,0.6613499647592977,0.009674586919208073,0.7070089816484091,0.01134175733222616,0.6227272727272727,0.07403771681978409,0.8414364640883978,0.03854666389046228,0.6068825910931175,0.06675593797871232,10.27336688041687,7.0055942448986865,10
balanced_detection,synthetic_only,Toto,0.7557371442381184,0.010165528181186836,0.794012331411818,0.021613078938306725,0.7226720647773279,0.0338863145195404,0.8311281942008556,0.004957236700276975,0.855529500033113,0.003230378413048214,0.23484848484848486,0.04531403647708677,0.9005524861878452,0.032943911270715116,0.18906882591093116,0.03199547666821675,6.706093740463257,5.056301898661507,10
controlled_500,all_origins,InceptionTime-lite,0.6749918530027557,0.017680014664102003,0.5394369106871484,0.03925378673287086,0.914,0.08221921916437785,0.65028,0.07765497479950084,0.6647556535835923,0.07071973935459964,0.9280000000000002,0.09761602782785665,0.9,0.09843215373488932,0.796,0.178088617142016,4.40302472114563,1.6463389933322794,10
controlled_500,all_origins,MOMENT,0.6666666666666666,0.0,0.5010638297872341,0.0033641251703918863,0.9960000000000001,0.012649110640673525,0.44392,0.09396544045552065,0.4818222995400651,0.07773677951960617,1.0,0.0,0.992,0.025298221281347028,0.992,0.025298221281347028,1.265529727935791,1.2132836275863146,10
controlled_500,all_origins,Mantis,0.7563346330089998,0.04439290755755192,0.7218356658500074,0.09328541138048337,0.808,0.06746192341692543,0.8208400000000001,0.0545098400902687,0.8234423199938874,0.0627931417892149,0.9,0.0541602560309064,0.716,0.14660604807897026,0.33399999999999996,0.15917844633548153,0.572694993019104,0.3656830319936984,10
controlled_500,all_origins,PatchTST,0.6707321954063119,0.02377368156047917,0.5264477503323263,0.021785371114909448,0.9279999999999999,0.06545566777937906,0.6591600000000001,0.05615959797260345,0.6637685628538786,0.05934419114919727,0.932,0.07554248252914825,0.924,0.06915361322607969,0.8379999999999999,0.09908470001860921,7.198030090332031,3.412585932025421,10
controlled_500,all_origins,TimesNet-lite,0.6478606823484316,0.02246595494550853,0.5038111320974334,0.02300123024430443,0.9199999999999999,0.10540925533894596,0.5676,0.07285004384960166,0.6083295915672108,0.07011899407791435,0.924,0.12429355932182848,0.916,0.11843422928641302,0.914,0.14637850479720943,1.595257782936096,0.4575770229306684,10
controlled_500,all_origins,Toto,0.7428617526297681,0.06618790475391316,0.7035900641718194,0.10481625462997836,0.806,0.10500793620801556,0.8178799999999999,0.068109728461587,0.8020663772717587,0.0709696840042924,0.828,0.12514880032274467,0.784,0.11805836597961952,0.37,0.20939065032719212,1.9665775299072266,1.1485041757896877,10
controlled_500,synthetic_only,InceptionTime-lite,0.5599877676041487,0.08735121481139814,0.5666087133132611,0.08501458826063603,0.5980000000000001,0.203185738782141,0.5874,0.052412466710379815,0.604253898954644,0.05813499211374317,0.396,0.2649612130943781,0.8,0.17888543819998315,0.49000000000000005,0.2420743687382041,3.3097746849060057,1.4327894726772559,10
controlled_500,synthetic_only,MOMENT,0.6625,0.01317615691736824,0.5012820512820513,0.0040542021284209855,0.9800000000000001,0.06324555320336758,0.44276,0.0941804320322315,0.4801004560035942,0.07696674718374037,0.976,0.07589466384404112,0.984,0.050596442562694084,0.976,0.07589466384404112,0.794335913658142,0.40187630132463115,10
controlled_500,synthetic_only,Mantis,0.5483980464588912,0.1143732596417914,0.7605175343662186,0.133602262571136,0.45200000000000007,0.12479316220584097,0.71104,0.06949831652637348,0.7506110205567222,0.06036628138651218,0.268,0.16870750493745743,0.636,0.1285128614402292,0.16999999999999998,0.13106402167558334,0.33331596851348877,0.2266378968993978,10
controlled_500,synthetic_only,PatchTST,0.579118640225746,0.12738347076683335,0.5921281521662619,0.11295639848522028,0.656,0.28562601811148475,0.623,0.07533209438509224,0.6325304370846159,0.07348455611489392,0.6,0.3435759660460034,0.712,0.23536260441190643,0.518,0.3453114536183241,5.754284381866455,2.065413746667401,10
controlled_500,synthetic_only,TimesNet-lite,0.5805859582815963,0.10474897392472929,0.5157676874709148,0.041674738582284425,0.704,0.22916272723886744,0.55076,0.06584492218673946,0.5874975867895376,0.06841954772336856,0.6719999999999999,0.2413296500639737,0.736,0.23109401646179514,0.6599999999999999,0.2373932508635314,1.603028130531311,0.5119418250672949,10
controlled_500,synthetic_only,Toto,0.5341505756051651,0.05696732155055566,0.6912738581666293,0.0852086221952533,0.44800000000000006,0.08547904226573122,0.68396,0.0425671547870734,0.710186449358188,0.03727299758402043,0.176,0.07105553383719587,0.72,0.12649110640673517,0.21800000000000003,0.11525816432879905,0.8703046083450318,0.39957380045605034,10
fullscale,synthetic_only,InceptionTime-lite,0.3578612154058264,0.12851010381775935,0.5995414838542473,0.22242941680719117,0.28299595141700407,0.1115701133906032,0.7156085277515132,0.09041338763086904,0.3331097196863075,0.12607979718900064,0.007246376811594203,0.012316472255055035,0.3898876404494382,0.15144707778210353,0.012855517633674632,0.017653356893854333,540.4900121688843,507.85745115355945,10
