detector,f1,real_recall,synth_recall,normal_fpr,auroc,seed,threshold
mean(RSRP) < -100,0.048356630147336606,0.0,0.7191011235955056,0.7994474240208028,0.4269333743916104,-1,
mean(RSRP) < -95,0.05195755579948774,0.0,0.797752808988764,0.8251259548187876,0.4269333743916104,-1,
mean(RSRP) < -90,0.0581792063207039,0.0,0.9101123595505618,0.8386153096050707,0.4269333743916104,-1,
mean(RSRP) < -85,0.054870530209617754,0.0,1.0,0.985372988785958,0.4269333743916104,-1,
min(RSRP) < -100,0.05470213563132259,0.0,0.8202247191011236,0.8036730050381927,0.4704564640796004,-1,
min(RSRP) < -95,0.058545454545454546,0.0,0.9044943820224719,0.8275637900211279,0.4704564640796004,-1,
min(RSRP) < -90,0.06059525931206559,0.0,0.9550561797752809,0.8441410693970421,0.4704564640796004,-1,
min(RSRP) < -85,0.05508539775350054,0.014492753623188406,1.0,0.9869982122541849,0.4704564640796004,-1,
"HGB on PHY-only (30 feats), synth-only train",0.7295918367346939,0.0,0.8033707865168539,0.00032504469364537625,0.8154252788705816,0,0.23
"HGB on PHY-only (30 feats), synth-only train",0.7376237623762376,0.0,0.8370786516853933,0.001300178774581505,0.8280283275792526,1,0.2
"HGB on PHY-only (30 feats), synth-only train",0.6989795918367347,0.0,0.7696629213483146,0.001300178774581505,0.8446417961417063,2,0.28
"HGB on PHY-only (30 feats), synth-only train",0.7106598984771574,0.0,0.7865168539325843,0.0011376564277588168,0.8192975218303044,3,0.18000000000000002
"HGB on PHY-only (30 feats), synth-only train",0.7347931873479319,0.014492753623188406,0.8426966292134831,0.0021127905086949453,0.8190955203708932,4,0.11
"HGB on PHY-only (30 feats), synth-only train",0.7196029776674938,0.0,0.8146067415730337,0.0017877458150495694,0.7926458309070128,5,0.19
"HGB on PHY-only (30 feats), synth-only train",0.7029702970297029,0.0,0.797752808988764,0.0024378352023403218,0.8362070837371718,6,0.14
"HGB on PHY-only (30 feats), synth-only train",0.6946386946386947,0.0,0.8370786516853933,0.005363237445148708,0.8255760167022966,7,0.09
"HGB on PHY-only (30 feats), synth-only train",0.7201946472019465,0.0,0.8314606741573034,0.00260035754916301,0.8399325959951072,8,0.09999999999999999
"HGB on PHY-only (30 feats), synth-only train",0.6963350785340314,0.0,0.7471910112359551,0.00032504469364537625,0.8308899052567096,9,0.34
