subset,n_features,condition,n_added_real,seed,precision,recall,f1,auroc,avg_precision,normal_fpr,real_jamming_detection_rate,synthetic_detection_rate,threshold
all_240,240,synth_only,0,0,0.9602272727272727,0.6842105263157895,0.7990543735224587,0.8646777747729787,0.751923042384188,0.0011376564277588168,0.0,0.949438202247191,0.05271606175289879
all_240,240,synth_only,0,1,0.9883720930232558,0.6882591093117408,0.8114558472553699,0.8757010009928998,0.7585543327559472,0.00032504469364537625,0.0,0.9550561797752809,0.04828013946863772
all_240,240,synth_only,0,2,0.9886363636363636,0.7044534412955465,0.8226950354609929,0.8886580457444477,0.7642699362109124,0.00032504469364537625,0.0,0.9775280898876404,0.028449627292657646
all_240,240,synth_only,0,3,1.0,0.6680161943319838,0.8009708737864077,0.8888764968341042,0.7583499771167784,0.0,0.0,0.9269662921348315,0.24973336524395848
all_240,240,synth_only,0,4,0.9942528735632183,0.7004048582995951,0.8218527315914489,0.8863965505783362,0.761113735750358,0.00016252234682268812,0.0,0.9719101123595506,0.029125919215515564
all_240,240,synth_only,0,5,1.0,0.680161943319838,0.8096385542168675,0.8719333776815366,0.7541435415489316,0.0,0.0,0.9438202247191011,0.08679570192334118
all_240,240,synth_only,0,6,0.9553072625698324,0.6923076923076923,0.8028169014084507,0.8914452710931964,0.7597203580927803,0.001300178774581505,0.0,0.9606741573033708,0.006707244019902244
all_240,240,synth_only,0,7,0.9210526315789473,0.708502024291498,0.8009153318077803,0.881065883401073,0.7586774944863979,0.0024378352023403218,0.014492753623188406,0.9775280898876404,0.007535448044117914
all_240,240,synth_only,0,8,1.0,0.6923076923076923,0.8181818181818182,0.8886271204395866,0.7595094280240087,0.0,0.0,0.9606741573033708,0.06189769238367403
all_240,240,synth_only,0,9,0.9941176470588236,0.6842105263157895,0.8105515587529976,0.8840702438690582,0.7652119308611562,0.00016252234682268812,0.0,0.949438202247191,0.015663578659776255
all_240,240,f10_calibrated,18,0,0.967741935483871,0.97165991902834,0.9696969696969697,0.9984938718547484,0.9885706725556971,0.001300178774581505,0.9710144927536232,0.9719101123595506,0.02024765213423892
all_240,240,f10_calibrated,18,1,0.9631147540983607,0.951417004048583,0.9572301425661914,0.9966225619180532,0.9831780692413177,0.0014627011214041932,0.8985507246376812,0.9719101123595506,0.02870990905508288
all_240,240,f10_calibrated,18,2,0.9710743801652892,0.951417004048583,0.9611451942740287,0.9991972580440337,0.9899538590275067,0.0011376564277588168,0.9130434782608695,0.9662921348314607,0.03029900092359056
all_240,240,f10_calibrated,18,3,0.9794238683127572,0.9635627530364372,0.9714285714285714,0.9980549957198063,0.9883226966028843,0.0008126117341134406,0.9565217391304348,0.9662921348314607,0.0214571090648983
all_240,240,f10_calibrated,18,4,0.9954954954954955,0.8947368421052632,0.9424307036247335,0.9974779426908041,0.9835100080476338,0.00016252234682268812,0.7681159420289855,0.9438202247191011,0.07069342409935424
all_240,240,f10_calibrated,18,5,1.0,0.9190283400809717,0.9578059071729957,0.9985024256624759,0.9878992913468077,0.0,0.8405797101449275,0.949438202247191,0.05206154063927556
all_240,240,f10_calibrated,18,6,0.9916317991631799,0.9595141700404858,0.9753086419753086,0.99879786102168,0.9912263864406392,0.00032504469364537625,0.9130434782608695,0.9775280898876404,0.011239701932636412
all_240,240,f10_calibrated,18,7,0.9672131147540983,0.9554655870445344,0.9613034623217923,0.9967363933593499,0.9868127693969192,0.001300178774581505,0.8985507246376812,0.9775280898876404,0.02776491331312091
all_240,240,f10_calibrated,18,8,0.9486166007905138,0.97165991902834,0.96,0.9975325554632183,0.9840545007977247,0.0021127905086949453,0.9710144927536232,0.9719101123595506,0.016614558856628978
all_240,240,f10_calibrated,18,9,0.9752066115702479,0.9554655870445344,0.9652351738241309,0.9988616855870315,0.9890004143078336,0.0009751340809361287,0.9420289855072463,0.9606741573033708,0.028387123140621424
no_rsrp,225,synth_only,0,0,0.9940828402366864,0.680161943319838,0.8076923076923077,0.9098754368199312,0.7644355739214111,0.00016252234682268812,0.0,0.9438202247191011,0.07509528961102069
no_rsrp,225,synth_only,0,1,0.9883040935672515,0.6842105263157895,0.8086124401913876,0.9017045764845297,0.7483155036424738,0.00032504469364537625,0.0,0.949438202247191,0.03420991520572659
no_rsrp,225,synth_only,0,2,0.9941520467836257,0.6882591093117408,0.8133971291866029,0.8972612023626932,0.7607770326766621,0.00016252234682268812,0.0,0.9550561797752809,0.03691108700720712
no_rsrp,225,synth_only,0,3,0.9939759036144579,0.6680161943319838,0.7990314769975787,0.9128116958187014,0.7653452833811792,0.00016252234682268812,0.0,0.9269662921348315,0.09571132937113017
no_rsrp,225,synth_only,0,4,0.9883720930232558,0.6882591093117408,0.8114558472553699,0.9146175362270208,0.7750971775174768,0.00032504469364537625,0.0,0.9550561797752809,0.03734545710502285
