category,n_windows,mean_rsrp_dbm,median_rsrp_dbm,q25_rsrp_dbm,q75_rsrp_dbm,min_rsrp_dbm,max_rsrp_dbm,frac_mean_below_-100dbm
Antenna Failure,107,-114.10494232177734,-118.728759765625,-124.71449279785156,-100.89468383789062,-135.9409942626953,-88.30162048339844,0.7663551401869159
Co-Channel Interference (Mild),146,-108.9925537109375,-114.0312728881836,-116.96906280517578,-93.48103332519531,-122.64066314697266,-87.48988342285156,0.7191780821917808
Doppler Shift (Severe),86,-106.74348449707031,-112.80427551269531,-114.6233139038086,-98.39849853515625,-126.60797119140625,-87.59895324707031,0.6744186046511628
Faulty RF Filters (Temporal),100,-108.79447174072266,-112.37835693359375,-117.34272766113281,-94.24966430664062,-133.10269165039062,-87.03268432617188,0.66
Faulty Handover Algorithm (Too Frequent),64,-109.13727569580078,-112.1180648803711,-113.83575439453125,-106.58100891113281,-122.06946563720703,-87.902587890625,0.84375
Buffer Overflow (Gradual Buildup),138,-110.61431884765625,-112.03461456298828,-117.0,-108.54432678222656,-127.54440307617188,-87.0,0.8478260869565217
Normal,30765,-106.35618591308594,-110.07231140136719,-114.35074615478516,-102.0,-122.39561462402344,-80.95094299316406,0.8034129692832764
Resource Allocation Bugs,60,-106.219482421875,-109.48678588867188,-117.47332763671875,-95.0,-124.13214111328125,-87.0,0.65
High Network Congestion (Sudden Spike),48,-105.7935791015625,-106.32674407958984,-117.0,-87.96466064453125,-125.50353240966797,-87.72632598876953,0.7083333333333334
High Network Congestion (Gradual Buildup),93,-105.52891540527344,-106.11090850830078,-112.0,-95.025146484375,-124.23595428466797,-87.6875,0.6881720430107527
Co-Channel Interference (Severe),114,-106.93988800048828,-101.81895446777344,-117.03196716308594,-99.70626068115234,-125.84944152832031,-88.10316467285156,0.6666666666666666
Jamming,279,-76.0135498046875,-75.3533935546875,-77.79183959960938,-73.0643310546875,-81.26658630371094,-72.953125,0.0
