method,seed,f1,auc,real_recall,synth_recall,normal_fpr,mean_weight,max_weight
(a) synth-only baseline,0,0.7990543735224587,0.8646777747729787,0.0,0.949438202247191,0.0011376564277588168,,
(b) IW-LR (Sugiyama),0,0.8095238095238095,0.796396675595526,0.0,0.9550561797752809,0.00048756704046806434,0.3329345127281644,10.0
(c) uLSIF-lite (Kanamori),0,0.8057553956834532,0.8750150514116743,0.0,0.9438202247191011,0.00032504469364537625,1.1412327235444946,3.1618816838186676
(d) real calibration f=10% (ours),0,0.968,0.9974641250013982,0.9855072463768116,0.9775280898876404,0.0017877458150495694,,
(a) synth-only baseline,1,0.8114558472553699,0.8757010009928998,0.0,0.9550561797752809,0.00032504469364537625,,
(b) IW-LR (Sugiyama),1,0.8037825059101655,0.8058933761286913,0.0,0.9550561797752809,0.0009751340809361287,0.3329345127281644,10.0
(c) uLSIF-lite (Kanamori),1,0.8038277511961722,0.8832411825046997,0.0,0.9438202247191011,0.00048756704046806434,1.14577176609326,3.042074790296386
(d) real calibration f=10% (ours),1,0.9710743801652892,0.9975832203243735,0.9130434782608695,0.9662921348314607,0.00032504469364537625,,
(a) synth-only baseline,2,0.8226950354609929,0.8886580457444477,0.0,0.9775280898876404,0.00032504469364537625,,
(b) IW-LR (Sugiyama),2,0.8113207547169812,0.8063154736407835,0.0,0.9662921348314607,0.0008126117341134406,0.3329345127281644,10.0
(c) uLSIF-lite (Kanamori),2,0.8009259259259259,0.8608584996226456,0.028985507246376812,0.9606741573033708,0.0019502681618722574,1.1545513399254737,3.524994478110309
(d) real calibration f=10% (ours),2,0.9711934156378601,0.9992334472305732,0.9130434782608695,0.9719101123595506,0.00048756704046806434,,
(a) synth-only baseline,3,0.8009708737864077,0.8888764968341042,0.0,0.9269662921348315,0.0,,
(b) IW-LR (Sugiyama),3,0.8047619047619048,0.7879882825993836,0.0,0.949438202247191,0.0006500893872907525,0.3329345127281644,10.0
(c) uLSIF-lite (Kanamori),3,0.7971360381861575,0.8820091051993334,0.0,0.9382022471910112,0.0008126117341134406,1.1503540927208187,3.232051924089379
(d) real calibration f=10% (ours),3,0.9796747967479674,0.9989327479896907,0.9855072463768116,0.9719101123595506,0.0006500893872907525,,
(a) synth-only baseline,4,0.8218527315914489,0.8863965505783362,0.0,0.9719101123595506,0.00016252234682268812,,
(b) IW-LR (Sugiyama),4,0.8113207547169812,0.8204980158455999,0.0,0.9662921348314607,0.0008126117341134406,0.3329345127281644,10.0
(c) uLSIF-lite (Kanamori),4,0.7981651376146789,0.8879711091854077,0.014492753623188406,0.9719101123595506,0.0024378352023403218,1.1620710504093574,3.5257823561511827
(d) real calibration f=10% (ours),4,0.9646569646569647,0.9976240154073817,0.9130434782608695,0.949438202247191,0.00032504469364537625,,
(a) synth-only baseline,5,0.8096385542168675,0.8719333776815366,0.0,0.9438202247191011,0.0,,
(b) IW-LR (Sugiyama),5,0.8047619047619048,0.7944325897442477,0.0,0.949438202247191,0.0006500893872907525,0.3329345127281644,10.0
(c) uLSIF-lite (Kanamori),5,0.8067632850241546,0.8849292435604633,0.0,0.9382022471910112,0.0,1.1531213196298804,3.512027343172615
(d) real calibration f=10% (ours),5,0.9739478957915831,0.9991854143102571,1.0,0.9775280898876404,0.0014627011214041932,,
(a) synth-only baseline,6,0.8028169014084507,0.8914452710931964,0.0,0.9606741573033708,0.001300178774581505,,
(b) IW-LR (Sugiyama),6,0.8009259259259259,0.815104182088195,0.0,0.9719101123595506,0.0019502681618722574,0.3329345127281644,10.0
(c) uLSIF-lite (Kanamori),6,0.8171021377672208,0.8836580161351134,0.014492753623188406,0.9606741573033708,0.00032504469364537625,1.1549712911988321,3.2796157836991955
(d) real calibration f=10% (ours),6,0.9815950920245399,0.9988702393947589,0.9710144927536232,0.9719101123595506,0.00032504469364537625,,
(a) synth-only baseline,7,0.8009153318077803,0.881065883401073,0.014492753623188406,0.9775280898876404,0.0024378352023403218,,
(b) IW-LR (Sugiyama),7,0.8105515587529976,0.7879724909543484,0.0,0.949438202247191,0.00016252234682268812,0.3329345127281644,10.0
(c) uLSIF-lite (Kanamori),7,0.8009367681498829,0.866456308795091,0.014492753623188406,0.9550561797752809,0.0014627011214041932,1.1577222824538194,3.520162169239342
(d) real calibration f=10% (ours),7,0.9465020576131687,0.9978911574025638,0.8115942028985508,0.9775280898876404,0.0014627011214041932,,
(a) synth-only baseline,8,0.8181818181818182,0.8886271204395866,0.0,0.9606741573033708,0.0,,
(b) IW-LR (Sugiyama),8,0.8028846153846154,0.8151087879846637,0.0,0.9382022471910112,0.00032504469364537625,0.3329345127281644,10.0
(c) uLSIF-lite (Kanamori),8,0.8056206088992974,0.8864185930828647,0.014492753623188406,0.9606741573033708,0.001300178774581505,1.1470192526092198,3.0722466403557984
(d) real calibration f=10% (ours),8,0.9495798319327731,0.9974496493267824,0.8115942028985508,0.9550561797752809,0.00048756704046806434,,
(a) synth-only baseline,9,0.8105515587529976,0.8840702438690582,0.0,0.949438202247191,0.00016252234682268812,,
(b) IW-LR (Sugiyama),9,0.7944572748267898,0.8103693205184135,0.0,0.9662921348314607,0.0022753128555176336,0.3329345127281644,10.0
(c) uLSIF-lite (Kanamori),9,0.7981438515081206,0.8907573475563417,0.0,0.9662921348314607,0.0019502681618722574,1.1518962373667685,3.411031196260202
(d) real calibration f=10% (ours),9,0.9818181818181818,0.9995091430334828,1.0,0.9775280898876404,0.0008126117341134406,,
