sample_id,split,partition,y,anomaly_type,anomaly_origin,zone,application,mobility,congestion
538,balanced_detection,train,1,Antenna Failure,synthetic,A,Youtube,No,No
24919,balanced_detection,train,0,,normal,C,File,No,No
18223,balanced_detection,train,0,,normal,B,Twitch,No,No
209,balanced_detection,train,1,Jamming,real,A,Youtube,No,No
9082,balanced_detection,train,0,,normal,A,Twitch,No,No
28833,balanced_detection,train,0,,normal,C,Twitch,No,No
2560,balanced_detection,train,0,,normal,A,Twitch,No,Yes
870,balanced_detection,train,1,High Network Congestion (Gradual Buildup),synthetic,B,Youtube,No,No
13960,balanced_detection,train,0,,normal,B,File,No,No
29286,balanced_detection,train,0,,normal,C,Youtube,No,No
1059,balanced_detection,train,1,Co-Channel Interference (Severe),synthetic,C,Twitch,No,No
511,balanced_detection,train,1,Co-Channel Interference (Severe),synthetic,A,Youtube,No,No
102,balanced_detection,train,1,Jamming,real,A,Twitch,No,No
1119,balanced_detection,train,1,Co-Channel Interference (Mild),synthetic,C,Youtube,No,No
1013,balanced_detection,train,1,Antenna Failure,synthetic,C,File,No,No
359,balanced_detection,train,1,Faulty RF Filters (Temporal),synthetic,A,Twitch,No,No
816,balanced_detection,train,1,Buffer Overflow (Gradual Buildup),synthetic,B,Twitch,No,No
20709,balanced_detection,train,0,,normal,B,Youtube,No,No
692,balanced_detection,train,1,Faulty RF Filters (Temporal),synthetic,B,File,No,No
18347,balanced_detection,train,0,,normal,B,Twitch,No,No
1108,balanced_detection,train,1,Co-Channel Interference (Mild),synthetic,C,Twitch,No,No
409,balanced_detection,train,1,Co-Channel Interference (Mild),synthetic,A,Twitch,No,No
27780,balanced_detection,train,0,,normal,C,Twitch,No,No
1076,balanced_detection,train,1,Buffer Overflow (Gradual Buildup),synthetic,C,Twitch,No,No
24792,balanced_detection,train,0,,normal,C,File,No,No
19604,balanced_detection,train,0,,normal,B,Youtube,No,No
9939,balanced_detection,train,0,,normal,A,Youtube,No,No
690,balanced_detection,train,1,Co-Channel Interference (Severe),synthetic,B,File,No,No
709,balanced_detection,train,1,Resource Allocation Bugs,synthetic,B,File,No,No
720,balanced_detection,train,1,Faulty RF Filters (Temporal),synthetic,B,File,No,No
1837,balanced_detection,train,0,,normal,In motion,Twitch,Yes,No
29493,balanced_detection,train,0,,normal,C,Youtube,No,No
7645,balanced_detection,train,0,,normal,A,Twitch,No,No
621,balanced_detection,train,1,Co-Channel Interference (Severe),synthetic,B,File,No,No
863,balanced_detection,train,1,High Network Congestion (Gradual Buildup),synthetic,B,Youtube,No,No
824,balanced_detection,train,1,Doppler Shift (Severe),synthetic,B,Twitch,No,No
194,balanced_detection,train,1,Jamming,real,A,Youtube,No,No
27849,balanced_detection,train,0,,normal,C,Twitch,No,No
8386,balanced_detection,train,0,,normal,A,Twitch,No,No
26013,balanced_detection,train,0,,normal,C,Twitch,No,No
14223,balanced_detection,train,0,,normal,B,File,No,No
8254,balanced_detection,train,0,,normal,A,Twitch,No,No
953,balanced_detection,train,1,Antenna Failure,synthetic,C,File,No,No
13403,balanced_detection,train,0,,normal,B,File,No,No
1021,balanced_detection,train,1,High Network Congestion (Sudden Spike),synthetic,C,File,No,No
9799,balanced_detection,train,0,,normal,A,Youtube,No,No
637,balanced_detection,train,1,Faulty Handover Algorithm (Too Frequent),synthetic,B,File,No,No
977,balanced_detection,train,1,Antenna Failure,synthetic,C,File,No,No
24576,balanced_detection,train,0,,normal,C,File,No,No
10512,balanced_detection,train,0,,normal,A,Youtube,No,No
746,balanced_detection,train,1,High Network Congestion (Gradual Buildup),synthetic,B,Twitch,No,No
436,balanced_detection,train,1,High Network Congestion (Sudden Spike),synthetic,A,Twitch,No,No
11582,balanced_detection,train,0,,normal,A,Youtube,No,No
14916,balanced_detection,train,0,,normal,B,File,No,No
27409,balanced_detection,train,0,,normal,C,Twitch,No,No
858,balanced_detection,train,1,High Network Congestion (Gradual Buildup),synthetic,B,Youtube,No,No
5072,balanced_detection,train,0,,normal,A,File,No,No
881,balanced_detection,train,1,Co-Channel Interference (Mild),synthetic,B,Youtube,No,No
950,balanced_detection,train,1,Antenna Failure,synthetic,C,File,No,No
4032,balanced_detection,train,0,,normal,A,File,No,No
667,balanced_detection,train,1,Faulty RF Filters (Temporal),synthetic,B,File,No,No
713,balanced_detection,train,1,Doppler Shift (Severe),synthetic,B,File,No,No
11316,balanced_detection,train,0,,normal,A,Youtube,No,No
27272,balanced_detection,train,0,,normal,C,Twitch,No,No
6532,balanced_detection,train,0,,normal,A,Twitch,No,No
646,balanced_detection,train,1,High Network Congestion (Gradual Buildup),synthetic,B,File,No,No
3749,balanced_detection,train,0,,normal,A,File,No,No
2793,balanced_detection,train,0,,normal,A,Youtube,No,Yes
10158,balanced_detection,train,0,,normal,A,Youtube,No,No
990,balanced_detection,train,1,Faulty RF Filters (Temporal),synthetic,C,File,No,No
28289,balanced_detection,train,0,,normal,C,Twitch,No,No
15041,balanced_detection,train,0,,normal,B,File,No,No
13520,balanced_detection,train,0,,normal,B,File,No,No
21293,balanced_detection,train,0,,normal,B,Youtube,No,No
397,balanced_detection,train,1,High Network Congestion (Sudden Spike),synthetic,A,Twitch,No,No
16096,balanced_detection,train,0,,normal,B,Twitch,No,No
9033,balanced_detection,train,0,,normal,A,Twitch,No,No
210,balanced_detection,train,1,Jamming,real,A,Youtube,No,No
10228,balanced_detection,train,0,,normal,A,Youtube,No,No
15392,balanced_detection,train,0,,normal,B,File,No,No
17534,balanced_detection,train,0,,normal,B,Twitch,No,No
1008,balanced_detection,train,1,Buffer Overflow (Gradual Buildup),synthetic,C,File,No,No
28739,balanced_detection,train,0,,normal,C,Twitch,No,No
596,balanced_detection,train,1,Co-Channel Interference (Mild),synthetic,B,File,No,No
