sample_id,split,partition,y,anomaly_type,anomaly_origin,zone,application,mobility,congestion
21743,controlled_500,train,0,,normal,B,Youtube,No,No
30856,controlled_500,train,0,,normal,C,Youtube,No,No
968,controlled_500,train,1,Faulty RF Filters (Temporal),synthetic,C,File,No,No
5271,controlled_500,train,0,,normal,A,File,No,No
3381,controlled_500,train,0,,normal,A,File,No,No
505,controlled_500,train,1,Co-Channel Interference (Severe),synthetic,A,Youtube,No,No
1089,controlled_500,train,1,Co-Channel Interference (Mild),synthetic,C,Twitch,No,No
674,controlled_500,train,1,Doppler Shift (Severe),synthetic,B,File,No,No
26629,controlled_500,train,0,,normal,C,Twitch,No,No
20899,controlled_500,train,0,,normal,B,Youtube,No,No
4671,controlled_500,train,0,,normal,A,File,No,No
17904,controlled_500,train,0,,normal,B,Twitch,No,No
16227,controlled_500,train,0,,normal,B,Twitch,No,No
137,controlled_500,train,1,Jamming,real,A,Twitch,No,No
228,controlled_500,train,1,Jamming,real,A,Youtube,No,No
26244,controlled_500,train,0,,normal,C,Twitch,No,No
487,controlled_500,train,1,Doppler Shift (Severe),synthetic,A,Youtube,No,No
329,controlled_500,train,1,Co-Channel Interference (Severe),synthetic,A,File,No,No
777,controlled_500,train,1,Faulty Handover Algorithm (Too Frequent),synthetic,B,Twitch,No,No
30,controlled_500,train,1,Jamming,real,A,File,No,No
27714,controlled_500,train,0,,normal,C,Twitch,No,No
934,controlled_500,train,1,Faulty RF Filters (Temporal),synthetic,C,File,No,No
5759,controlled_500,train,0,,normal,A,File,No,No
14264,controlled_500,train,0,,normal,B,File,No,No
4414,controlled_500,train,0,,normal,A,File,No,No
17420,controlled_500,train,0,,normal,B,Twitch,No,No
22183,controlled_500,train,0,,normal,C,File,No,Yes
148,controlled_500,train,1,Jamming,real,A,Twitch,No,No
6444,controlled_500,train,0,,normal,A,Twitch,No,No
22260,controlled_500,train,0,,normal,C,File,No,Yes
18546,controlled_500,train,0,,normal,B,Twitch,No,No
424,controlled_500,train,1,Co-Channel Interference (Mild),synthetic,A,Twitch,No,No
285,controlled_500,train,1,Doppler Shift (Severe),synthetic,A,File,No,No
160,controlled_500,train,1,Jamming,real,A,Twitch,No,No
1165,controlled_500,train,1,Buffer Overflow (Gradual Buildup),synthetic,C,Youtube,No,No
70,controlled_500,train,1,Jamming,real,A,File,No,No
276,controlled_500,train,1,Jamming,real,A,Youtube,No,No
1193,controlled_500,train,1,Co-Channel Interference (Mild),synthetic,C,Youtube,No,No
573,controlled_500,train,1,Co-Channel Interference (Mild),synthetic,A,Youtube,No,No
182,controlled_500,train,1,Jamming,real,A,Twitch,No,No
4836,controlled_500,train,0,,normal,A,File,No,No
261,controlled_500,train,1,Jamming,real,A,Youtube,No,No
10981,controlled_500,train,0,,normal,A,Youtube,No,No
183,controlled_500,train,1,Jamming,real,A,Twitch,No,No
510,controlled_500,train,1,Co-Channel Interference (Severe),synthetic,A,Youtube,No,No
8311,controlled_500,train,0,,normal,A,Twitch,No,No
391,controlled_500,train,1,Co-Channel Interference (Severe),synthetic,A,Twitch,No,No
42,controlled_500,train,1,Jamming,real,A,File,No,No
557,controlled_500,train,1,Doppler Shift (Severe),synthetic,A,Youtube,No,No
28539,controlled_500,train,0,,normal,C,Twitch,No,No
222,controlled_500,train,1,Jamming,real,A,Youtube,No,No
17,controlled_500,train,1,Jamming,real,A,File,No,No
28998,controlled_500,train,0,,normal,C,Youtube,No,No
18110,controlled_500,train,0,,normal,B,Twitch,No,No
4016,controlled_500,train,0,,normal,A,File,No,No
10089,controlled_500,train,0,,normal,A,Youtube,No,No
130,controlled_500,train,1,Jamming,real,A,Twitch,No,No
25350,controlled_500,train,0,,normal,C,File,No,No
7210,controlled_500,train,0,,normal,A,Twitch,No,No
972,controlled_500,train,1,Doppler Shift (Severe),synthetic,C,File,No,No
28799,controlled_500,train,0,,normal,C,Twitch,No,No
323,controlled_500,train,1,Doppler Shift (Severe),synthetic,A,File,No,No
2307,controlled_500,train,0,,normal,A,File,No,Yes
477,controlled_500,train,1,Co-Channel Interference (Severe),synthetic,A,Youtube,No,No
1094,controlled_500,train,1,Buffer Overflow (Gradual Buildup),synthetic,C,Twitch,No,No
22453,controlled_500,train,0,,normal,C,Twitch,No,Yes
25842,controlled_500,train,0,,normal,C,File,No,No
9987,controlled_500,train,0,,normal,A,Youtube,No,No
190,controlled_500,train,1,Jamming,real,A,Youtube,No,No
793,controlled_500,train,1,Buffer Overflow (Gradual Buildup),synthetic,B,Twitch,No,No
581,controlled_500,train,1,Faulty RF Filters (Temporal),synthetic,A,Youtube,No,No
251,controlled_500,train,1,Jamming,real,A,Youtube,No,No
8627,controlled_500,train,0,,normal,A,Twitch,No,No
24856,controlled_500,train,0,,normal,C,File,No,No
678,controlled_500,train,1,Co-Channel Interference (Mild),synthetic,B,File,No,No
30277,controlled_500,train,0,,normal,C,Youtube,No,No
1045,controlled_500,train,1,Co-Channel Interference (Mild),synthetic,C,Twitch,No,No
28085,controlled_500,train,0,,normal,C,Twitch,No,No
12133,controlled_500,train,0,,normal,B,File,No,Yes
338,controlled_500,train,1,Resource Allocation Bugs,synthetic,A,File,No,No
2,controlled_500,train,1,Jamming,real,A,File,No,No
56,controlled_500,train,1,Jamming,real,A,File,No,No
13198,controlled_500,train,0,,normal,B,File,No,No
4452,controlled_500,train,0,,normal,A,File,No,No
3965,controlled_500,train,0,,normal,A,File,No,No
10464,controlled_500,train,0,,normal,A,Youtube,No,No
16762,controlled_500,train,0,,normal,B,Twitch,No,No
