sample_id,split,partition,y,anomaly_type,anomaly_origin,zone,application,mobility,congestion
4065,fullscale,train,0,,normal,A,File,No,No
5769,fullscale,train,0,,normal,A,File,No,No
4005,fullscale,train,0,,normal,A,File,No,No
14607,fullscale,train,0,,normal,B,File,No,No
22178,fullscale,train,0,,normal,C,File,No,Yes
12551,fullscale,train,0,,normal,B,Twitch,No,Yes
29019,fullscale,train,0,,normal,C,Youtube,No,No
4601,fullscale,train,0,,normal,A,File,No,No
30503,fullscale,train,0,,normal,C,Youtube,No,No
925,fullscale,train,1,Faulty Handover Algorithm (Too Frequent),synthetic,C,File,No,No
20679,fullscale,train,0,,normal,B,Youtube,No,No
6257,fullscale,train,0,,normal,A,Twitch,No,No
18682,fullscale,train,0,,normal,B,Twitch,No,No
19737,fullscale,train,0,,normal,B,Youtube,No,No
25245,fullscale,train,0,,normal,C,File,No,No
19507,fullscale,train,0,,normal,B,Youtube,No,No
3437,fullscale,train,0,,normal,A,File,No,No
29034,fullscale,train,0,,normal,C,Youtube,No,No
11836,fullscale,train,0,,normal,A,Youtube,No,No
1714,fullscale,train,0,,normal,In motion,Twitch,Yes,No
13882,fullscale,train,0,,normal,B,File,No,No
1411,fullscale,train,0,,normal,In motion,File,Yes,No
130,fullscale,train,1,Jamming,real,A,Twitch,No,No
11168,fullscale,train,0,,normal,A,Youtube,No,No
30629,fullscale,train,0,,normal,C,Youtube,No,No
23955,fullscale,train,0,,normal,C,File,No,No
24437,fullscale,train,0,,normal,C,File,No,No
10698,fullscale,train,0,,normal,A,Youtube,No,No
13005,fullscale,train,0,,normal,B,Youtube,No,Yes
6510,fullscale,train,0,,normal,A,Twitch,No,No
23045,fullscale,train,0,,normal,C,File,No,No
23687,fullscale,train,0,,normal,C,File,No,No
6030,fullscale,train,0,,normal,A,File,No,No
27592,fullscale,train,0,,normal,C,Twitch,No,No
25987,fullscale,train,0,,normal,C,File,No,No
16677,fullscale,train,0,,normal,B,Twitch,No,No
16444,fullscale,train,0,,normal,B,Twitch,No,No
21135,fullscale,train,0,,normal,B,Youtube,No,No
396,fullscale,train,1,Faulty RF Filters (Temporal),synthetic,A,Twitch,No,No
15372,fullscale,train,0,,normal,B,File,No,No
4233,fullscale,train,0,,normal,A,File,No,No
4,fullscale,train,1,Jamming,real,A,File,No,No
31578,fullscale,train,0,,normal,C,Youtube,No,No
24304,fullscale,train,0,,normal,C,File,No,No
11731,fullscale,train,0,,normal,A,Youtube,No,No
29134,fullscale,train,0,,normal,C,Youtube,No,No
29630,fullscale,train,0,,normal,C,Youtube,No,No
26865,fullscale,train,0,,normal,C,Twitch,No,No
14089,fullscale,train,0,,normal,B,File,No,No
6521,fullscale,train,0,,normal,A,Twitch,No,No
29101,fullscale,train,0,,normal,C,Youtube,No,No
17771,fullscale,train,0,,normal,B,Twitch,No,No
30148,fullscale,train,0,,normal,C,Youtube,No,No
16806,fullscale,train,0,,normal,B,Twitch,No,No
13782,fullscale,train,0,,normal,B,File,No,No
18236,fullscale,train,0,,normal,B,Twitch,No,No
18781,fullscale,train,0,,normal,B,Twitch,No,No
19500,fullscale,train,0,,normal,B,Youtube,No,No
1313,fullscale,train,0,,normal,In motion,File,Yes,No
15821,fullscale,train,0,,normal,B,File,No,No
10769,fullscale,train,0,,normal,A,Youtube,No,No
19432,fullscale,train,0,,normal,B,Youtube,No,No
26720,fullscale,train,0,,normal,C,Twitch,No,No
5328,fullscale,train,0,,normal,A,File,No,No
4896,fullscale,train,0,,normal,A,File,No,No
597,fullscale,train,1,Co-Channel Interference (Mild),synthetic,B,File,No,No
16694,fullscale,train,0,,normal,B,Twitch,No,No
7950,fullscale,train,0,,normal,A,Twitch,No,No
29860,fullscale,train,0,,normal,C,Youtube,No,No
11419,fullscale,train,0,,normal,A,Youtube,No,No
10020,fullscale,train,0,,normal,A,Youtube,No,No
18951,fullscale,train,0,,normal,B,Twitch,No,No
1470,fullscale,train,0,,normal,In motion,File,Yes,No
10442,fullscale,train,0,,normal,A,Youtube,No,No
768,fullscale,train,1,Buffer Overflow (Gradual Buildup),synthetic,B,Twitch,No,No
11564,fullscale,train,0,,normal,A,Youtube,No,No
4084,fullscale,train,0,,normal,A,File,No,No
3527,fullscale,train,0,,normal,A,File,No,No
25693,fullscale,train,0,,normal,C,File,No,No
3561,fullscale,train,0,,normal,A,File,No,No
6176,fullscale,train,0,,normal,A,Twitch,No,No
932,fullscale,train,1,Antenna Failure,synthetic,C,File,No,No
19745,fullscale,train,0,,normal,B,Youtube,No,No
325,fullscale,train,1,Resource Allocation Bugs,synthetic,A,File,No,No
24266,fullscale,train,0,,normal,C,File,No,No
4535,fullscale,train,0,,normal,A,File,No,No
5068,fullscale,train,0,,normal,A,File,No,No
21170,fullscale,train,0,,normal,B,Youtube,No,No
6660,fullscale,train,0,,normal,A,Twitch,No,No
30782,fullscale,train,0,,normal,C,Youtube,No,No
15730,fullscale,train,0,,normal,B,File,No,No
4780,fullscale,train,0,,normal,A,File,No,No
750,fullscale,train,1,Buffer Overflow (Gradual Buildup),synthetic,B,Twitch,No,No
24110,fullscale,train,0,,normal,C,File,No,No
2013,fullscale,train,0,,normal,In motion,Youtube,Yes,No
17275,fullscale,train,0,,normal,B,Twitch,No,No
4337,fullscale,train,0,,normal,A,File,No,No
31319,fullscale,train,0,,normal,C,Youtube,No,No
25740,fullscale,train,0,,normal,C,File,No,No
3657,fullscale,train,0,,normal,A,File,No,No
5753,fullscale,train,0,,normal,A,File,No,No
22686,fullscale,train,0,,normal,C,Youtube,No,Yes
12238,fullscale,train,0,,normal,B,File,No,Yes
16710,fullscale,train,0,,normal,B,Twitch,No,No
17515,fullscale,train,0,,normal,B,Twitch,No,No
8291,fullscale,train,0,,normal,A,Twitch,No,No
19252,fullscale,train,0,,normal,B,Youtube,No,No
20127,fullscale,train,0,,normal,B,Youtube,No,No
17500,fullscale,train,0,,normal,B,Twitch,No,No
645,fullscale,train,1,Co-Channel Interference (Mild),synthetic,B,File,No,No
22195,fullscale,train,0,,normal,C,File,No,Yes
18630,fullscale,train,0,,normal,B,Twitch,No,No
2265,fullscale,train,0,,normal,A,File,No,Yes
2763,fullscale,train,0,,normal,A,Twitch,No,Yes
28736,fullscale,train,0,,normal,C,Twitch,No,No
2613,fullscale,train,0,,normal,A,Twitch,No,Yes
1815,fullscale,train,0,,normal,In motion,Twitch,Yes,No
29531,fullscale,train,0,,normal,C,Youtube,No,No
5732,fullscale,train,0,,normal,A,File,No,No
23458,fullscale,train,0,,normal,C,File,No,No
16259,fullscale,train,0,,normal,B,Twitch,No,No
9973,fullscale,train,0,,normal,A,Youtube,No,No
8896,fullscale,train,0,,normal,A,Twitch,No,No
5579,fullscale,train,0,,normal,A,File,No,No
27923,fullscale,train,0,,normal,C,Twitch,No,No
1077,fullscale,train,1,Co-Channel Interference (Severe),synthetic,C,Twitch,No,No
12864,fullscale,train,0,,normal,B,Youtube,No,Yes
27577,fullscale,train,0,,normal,C,Twitch,No,No
12210,fullscale,train,0,,normal,B,File,No,Yes
25252,fullscale,train,0,,normal,C,File,No,No
22720,fullscale,train,0,,normal,C,Youtube,No,Yes
12961,fullscale,train,0,,normal,B,Youtube,No,Yes
21597,fullscale,train,0,,normal,B,Youtube,No,No
7368,fullscale,train,0,,normal,A,Twitch,No,No
19089,fullscale,train,0,,normal,B,Youtube,No,No
8011,fullscale,train,0,,normal,A,Twitch,No,No
16695,fullscale,train,0,,normal,B,Twitch,No,No
18495,fullscale,train,0,,normal,B,Twitch,No,No
10431,fullscale,train,0,,normal,A,Youtube,No,No
25145,fullscale,train,0,,normal,C,File,No,No
11547,fullscale,train,0,,normal,A,Youtube,No,No
18545,fullscale,train,0,,normal,B,Twitch,No,No
24597,fullscale,train,0,,normal,C,File,No,No
24722,fullscale,train,0,,normal,C,File,No,No
16520,fullscale,train,0,,normal,B,Twitch,No,No
27607,fullscale,train,0,,normal,C,Twitch,No,No
29077,fullscale,train,0,,normal,C,Youtube,No,No
28750,fullscale,train,0,,normal,C,Twitch,No,No
4093,fullscale,train,0,,normal,A,File,No,No
5500,fullscale,train,0,,normal,A,File,No,No
6735,fullscale,train,0,,normal,A,Twitch,No,No
