sample_id,split,partition,y,anomaly_type,anomaly_origin,zone,application,mobility,congestion
16308,small_natural,train,0,,normal,B,Twitch,No,No
8472,small_natural,train,0,,normal,A,Twitch,No,No
30790,small_natural,train,0,,normal,C,Youtube,No,No
23917,small_natural,train,0,,normal,C,File,No,No
5322,small_natural,train,0,,normal,A,File,No,No
8734,small_natural,train,0,,normal,A,Twitch,No,No
13717,small_natural,train,0,,normal,B,File,No,No
26617,small_natural,train,0,,normal,C,Twitch,No,No
43,small_natural,train,1,Jamming,real,A,File,No,No
18923,small_natural,train,0,,normal,B,Twitch,No,No
30652,small_natural,train,0,,normal,C,Youtube,No,No
23200,small_natural,train,0,,normal,C,File,No,No
1671,small_natural,train,0,,normal,In motion,Twitch,Yes,No
5854,small_natural,train,0,,normal,A,File,No,No
30975,small_natural,train,0,,normal,C,Youtube,No,No
30490,small_natural,train,0,,normal,C,Youtube,No,No
5662,small_natural,train,0,,normal,A,File,No,No
17099,small_natural,train,0,,normal,B,Twitch,No,No
31154,small_natural,train,0,,normal,C,Youtube,No,No
11125,small_natural,train,0,,normal,A,Youtube,No,No
16600,small_natural,train,0,,normal,B,Twitch,No,No
12316,small_natural,train,0,,normal,B,File,No,Yes
11813,small_natural,train,0,,normal,A,Youtube,No,No
25500,small_natural,train,0,,normal,C,File,No,No
31413,small_natural,train,0,,normal,C,Youtube,No,No
26375,small_natural,train,0,,normal,C,Twitch,No,No
2819,small_natural,train,0,,normal,A,Youtube,No,Yes
15009,small_natural,train,0,,normal,B,File,No,No
13984,small_natural,train,0,,normal,B,File,No,No
21390,small_natural,train,0,,normal,B,Youtube,No,No
27667,small_natural,train,0,,normal,C,Twitch,No,No
15720,small_natural,train,0,,normal,B,File,No,No
29213,small_natural,train,0,,normal,C,Youtube,No,No
17385,small_natural,train,0,,normal,B,Twitch,No,No
10439,small_natural,train,0,,normal,A,Youtube,No,No
3805,small_natural,train,0,,normal,A,File,No,No
30080,small_natural,train,0,,normal,C,Youtube,No,No
30919,small_natural,train,0,,normal,C,Youtube,No,No
17935,small_natural,train,0,,normal,B,Twitch,No,No
19255,small_natural,train,0,,normal,B,Youtube,No,No
18690,small_natural,train,0,,normal,B,Twitch,No,No
23106,small_natural,train,0,,normal,C,File,No,No
8596,small_natural,train,0,,normal,A,Twitch,No,No
381,small_natural,train,1,Antenna Failure,synthetic,A,Twitch,No,No
18063,small_natural,train,0,,normal,B,Twitch,No,No
11299,small_natural,train,0,,normal,A,Youtube,No,No
477,small_natural,train,1,Co-Channel Interference (Severe),synthetic,A,Youtube,No,No
19214,small_natural,train,0,,normal,B,Youtube,No,No
27095,small_natural,train,0,,normal,C,Twitch,No,No
14393,small_natural,train,0,,normal,B,File,No,No
13702,small_natural,train,0,,normal,B,File,No,No
2848,small_natural,train,0,,normal,A,Youtube,No,Yes
4726,small_natural,train,0,,normal,A,File,No,No
5965,small_natural,train,0,,normal,A,File,No,No
31479,small_natural,train,0,,normal,C,Youtube,No,No
1398,small_natural,train,0,,normal,In motion,File,Yes,No
10223,small_natural,train,0,,normal,A,Youtube,No,No
30714,small_natural,train,0,,normal,C,Youtube,No,No
8122,small_natural,train,0,,normal,A,Twitch,No,No
20549,small_natural,train,0,,normal,B,Youtube,No,No
10978,small_natural,train,0,,normal,A,Youtube,No,No
21444,small_natural,train,0,,normal,B,Youtube,No,No
9551,small_natural,train,0,,normal,A,Youtube,No,No
30851,small_natural,train,0,,normal,C,Youtube,No,No
1159,small_natural,train,1,High Network Congestion (Sudden Spike),synthetic,C,Youtube,No,No
29330,small_natural,train,0,,normal,C,Youtube,No,No
3999,small_natural,train,0,,normal,A,File,No,No
17876,small_natural,train,0,,normal,B,Twitch,No,No
13523,small_natural,train,0,,normal,B,File,No,No
21172,small_natural,train,0,,normal,B,Youtube,No,No
28170,small_natural,train,0,,normal,C,Twitch,No,No
934,small_natural,train,1,Faulty RF Filters (Temporal),synthetic,C,File,No,No
5210,small_natural,train,0,,normal,A,File,No,No
16383,small_natural,train,0,,normal,B,Twitch,No,No
9712,small_natural,train,0,,normal,A,Youtube,No,No
14969,small_natural,train,0,,normal,B,File,No,No
29292,small_natural,train,0,,normal,C,Youtube,No,No
24879,small_natural,train,0,,normal,C,File,No,No
2595,small_natural,train,0,,normal,A,Twitch,No,Yes
6515,small_natural,train,0,,normal,A,Twitch,No,No
25210,small_natural,train,0,,normal,C,File,No,No
30162,small_natural,train,0,,normal,C,Youtube,No,No
23926,small_natural,train,0,,normal,C,File,No,No
15234,small_natural,train,0,,normal,B,File,No,No
16315,small_natural,train,0,,normal,B,Twitch,No,No
19947,small_natural,train,0,,normal,B,Youtube,No,No
110,small_natural,train,1,Jamming,real,A,Twitch,No,No
8317,small_natural,train,0,,normal,A,Twitch,No,No
24638,small_natural,train,0,,normal,C,File,No,No
29453,small_natural,train,0,,normal,C,Youtube,No,No
25188,small_natural,train,0,,normal,C,File,No,No
7779,small_natural,train,0,,normal,A,Twitch,No,No
4548,small_natural,train,0,,normal,A,File,No,No
29761,small_natural,train,0,,normal,C,Youtube,No,No
31566,small_natural,train,0,,normal,C,Youtube,No,No
15940,small_natural,train,0,,normal,B,File,No,No
23273,small_natural,train,0,,normal,C,File,No,No
1780,small_natural,train,0,,normal,In motion,Twitch,Yes,No
12429,small_natural,train,0,,normal,B,Twitch,No,Yes
21246,small_natural,train,0,,normal,B,Youtube,No,No
4833,small_natural,train,0,,normal,A,File,No,No
29321,small_natural,train,0,,normal,C,Youtube,No,No
26407,small_natural,train,0,,normal,C,Twitch,No,No
6263,small_natural,train,0,,normal,A,Twitch,No,No
2909,small_natural,train,0,,normal,A,Youtube,No,Yes
1988,small_natural,train,0,,normal,In motion,Youtube,Yes,No
23997,small_natural,train,0,,normal,C,File,No,No
25846,small_natural,train,0,,normal,C,File,No,No
13284,small_natural,train,0,,normal,B,File,No,No
16447,small_natural,train,0,,normal,B,Twitch,No,No
15214,small_natural,train,0,,normal,B,File,No,No
12669,small_natural,train,0,,normal,B,Twitch,No,Yes
6711,small_natural,train,0,,normal,A,Twitch,No,No
2317,small_natural,train,0,,normal,A,File,No,Yes
2780,small_natural,train,0,,normal,A,Youtube,No,Yes
24352,small_natural,train,0,,normal,C,File,No,No
4988,small_natural,train,0,,normal,A,File,No,No
6978,small_natural,train,0,,normal,A,Twitch,No,No
5843,small_natural,train,0,,normal,A,File,No,No
19445,small_natural,train,0,,normal,B,Youtube,No,No
12276,small_natural,train,0,,normal,B,File,No,Yes
26790,small_natural,train,0,,normal,C,Twitch,No,No
27504,small_natural,train,0,,normal,C,Twitch,No,No
17046,small_natural,train,0,,normal,B,Twitch,No,No
13803,small_natural,train,0,,normal,B,File,No,No
30299,small_natural,train,0,,normal,C,Youtube,No,No
19912,small_natural,train,0,,normal,B,Youtube,No,No
3289,small_natural,train,0,,normal,A,File,No,No
22148,small_natural,train,0,,normal,C,File,No,Yes
23352,small_natural,train,0,,normal,C,File,No,No
19361,small_natural,train,0,,normal,B,Youtube,No,No
12470,small_natural,train,0,,normal,B,Twitch,No,Yes
22893,small_natural,train,0,,normal,C,Youtube,No,Yes
20284,small_natural,train,0,,normal,B,Youtube,No,No
10281,small_natural,train,0,,normal,A,Youtube,No,No
16845,small_natural,train,0,,normal,B,Twitch,No,No
24230,small_natural,train,0,,normal,C,File,No,No
8384,small_natural,train,0,,normal,A,Twitch,No,No
5873,small_natural,train,0,,normal,A,File,No,No
20994,small_natural,train,0,,normal,B,Youtube,No,No
13935,small_natural,train,0,,normal,B,File,No,No
20337,small_natural,train,0,,normal,B,Youtube,No,No
29366,small_natural,train,0,,normal,C,Youtube,No,No
1603,small_natural,train,0,,normal,In motion,Twitch,Yes,No
20602,small_natural,train,0,,normal,B,Youtube,No,No
24536,small_natural,train,0,,normal,C,File,No,No
23071,small_natural,train,0,,normal,C,File,No,No
28349,small_natural,train,0,,normal,C,Twitch,No,No
730,small_natural,train,1,Buffer Overflow (Gradual Buildup),synthetic,B,Twitch,No,No
4634,small_natural,train,0,,normal,A,File,No,No
9918,small_natural,train,0,,normal,A,Youtube,No,No
9843,small_natural,train,0,,normal,A,Youtube,No,No
3944,small_natural,train,0,,normal,A,File,No,No
5603,small_natural,train,0,,normal,A,File,No,No
26257,small_natural,train,0,,normal,C,Twitch,No,No
22899,small_natural,train,0,,normal,C,Youtube,No,Yes
17443,small_natural,train,0,,normal,B,Twitch,No,No
1831,small_natural,train,0,,normal,In motion,Twitch,Yes,No
23124,small_natural,train,0,,normal,C,File,No,No
3823,small_natural,train,0,,normal,A,File,No,No
25005,small_natural,train,0,,normal,C,File,No,No
24489,small_natural,train,0,,normal,C,File,No,No
15190,small_natural,train,0,,normal,B,File,No,No
31481,small_natural,train,0,,normal,C,Youtube,No,No
5506,small_natural,train,0,,normal,A,File,No,No
23172,small_natural,train,0,,normal,C,File,No,No
4677,small_natural,train,0,,normal,A,File,No,No
14624,small_natural,train,0,,normal,B,File,No,No
14467,small_natural,train,0,,normal,B,File,No,No
361,small_natural,train,1,Co-Channel Interference (Mild),synthetic,A,Twitch,No,No
13430,small_natural,train,0,,normal,B,File,No,No
17272,small_natural,train,0,,normal,B,Twitch,No,No
9644,small_natural,train,0,,normal,A,Youtube,No,No
13924,small_natural,train,0,,normal,B,File,No,No
2373,small_natural,train,0,,normal,A,File,No,Yes
21615,small_natural,train,0,,normal,B,Youtube,No,No
3914,small_natural,train,0,,normal,A,File,No,No
28486,small_natural,train,0,,normal,C,Twitch,No,No
20638,small_natural,train,0,,normal,B,Youtube,No,No
20290,small_natural,train,0,,normal,B,Youtube,No,No
15240,small_natural,train,0,,normal,B,File,No,No
27637,small_natural,train,0,,normal,C,Twitch,No,No
7002,small_natural,train,0,,normal,A,Twitch,No,No
30511,small_natural,train,0,,normal,C,Youtube,No,No
4092,small_natural,train,0,,normal,A,File,No,No
25630,small_natural,train,0,,normal,C,File,No,No
8395,small_natural,train,0,,normal,A,Twitch,No,No
24840,small_natural,train,0,,normal,C,File,No,No
12058,small_natural,train,0,,normal,A,Youtube,No,No
21911,small_natural,train,0,,normal,B,Youtube,No,No
4515,small_natural,train,0,,normal,A,File,No,No
8244,small_natural,train,0,,normal,A,Twitch,No,No
3942,small_natural,train,0,,normal,A,File,No,No
20873,small_natural,train,0,,normal,B,Youtube,No,No
16791,small_natural,train,0,,normal,B,Twitch,No,No
16397,small_natural,train,0,,normal,B,Twitch,No,No
16942,small_natural,train,0,,normal,B,Twitch,No,No
6555,small_natural,train,0,,normal,A,Twitch,No,No
6330,small_natural,train,0,,normal,A,Twitch,No,No
2862,small_natural,train,0,,normal,A,Youtube,No,Yes
27487,small_natural,train,0,,normal,C,Twitch,No,No
31540,small_natural,train,0,,normal,C,Youtube,No,No
25147,small_natural,train,0,,normal,C,File,No,No
30744,small_natural,train,0,,normal,C,Youtube,No,No
4932,small_natural,train,0,,normal,A,File,No,No
5878,small_natural,train,0,,normal,A,File,No,No
20789,small_natural,train,0,,normal,B,Youtube,No,No
17891,small_natural,train,0,,normal,B,Twitch,No,No
17841,small_natural,train,0,,normal,B,Twitch,No,No
3973,small_natural,train,0,,normal,A,File,No,No
15539,small_natural,train,0,,normal,B,File,No,No
31326,small_natural,train,0,,normal,C,Youtube,No,No
22937,small_natural,train,0,,normal,C,Youtube,No,Yes
10963,small_natural,train,0,,normal,A,Youtube,No,No
17361,small_natural,train,0,,normal,B,Twitch,No,No
16476,small_natural,train,0,,normal,B,Twitch,No,No
3248,small_natural,train,0,,normal,A,File,No,No
9904,small_natural,train,0,,normal,A,Youtube,No,No
5655,small_natural,train,0,,normal,A,File,No,No
26535,small_natural,train,0,,normal,C,Twitch,No,No
4787,small_natural,train,0,,normal,A,File,No,No
770,small_natural,train,1,Doppler Shift (Severe),synthetic,B,Twitch,No,No
20616,small_natural,train,0,,normal,B,Youtube,No,No
9910,small_natural,train,0,,normal,A,Youtube,No,No
28979,small_natural,train,0,,normal,C,Twitch,No,No
17030,small_natural,train,0,,normal,B,Twitch,No,No
5534,small_natural,train,0,,normal,A,File,No,No
2529,small_natural,train,0,,normal,A,Twitch,No,Yes
301,small_natural,train,1,High Network Congestion (Gradual Buildup),synthetic,A,File,No,No
4760,small_natural,train,0,,normal,A,File,No,No
12311,small_natural,train,0,,normal,B,File,No,Yes
6714,small_natural,train,0,,normal,A,Twitch,No,No
8661,small_natural,train,0,,normal,A,Twitch,No,No
14803,small_natural,train,0,,normal,B,File,No,No
23621,small_natural,train,0,,normal,C,File,No,No
18122,small_natural,train,0,,normal,B,Twitch,No,No
508,small_natural,train,1,Antenna Failure,synthetic,A,Youtube,No,No
22112,small_natural,train,0,,normal,C,File,No,Yes
8644,small_natural,train,0,,normal,A,Twitch,No,No
9526,small_natural,train,0,,normal,A,Youtube,No,No
10385,small_natural,train,0,,normal,A,Youtube,No,No
21737,small_natural,train,0,,normal,B,Youtube,No,No
4842,small_natural,train,0,,normal,A,File,No,No
16070,small_natural,train,0,,normal,B,Twitch,No,No
29393,small_natural,train,0,,normal,C,Youtube,No,No
5727,small_natural,train,0,,normal,A,File,No,No
31928,small_natural,train,0,,normal,C,Youtube,No,No
14161,small_natural,train,0,,normal,B,File,No,No
1775,small_natural,train,0,,normal,In motion,Twitch,Yes,No
21896,small_natural,train,0,,normal,B,Youtube,No,No
8821,small_natural,train,0,,normal,A,Twitch,No,No
30515,small_natural,train,0,,normal,C,Youtube,No,No
17760,small_natural,train,0,,normal,B,Twitch,No,No
10850,small_natural,train,0,,normal,A,Youtube,No,No
8027,small_natural,train,0,,normal,A,Twitch,No,No
25930,small_natural,train,0,,normal,C,File,No,No
9955,small_natural,train,0,,normal,A,Youtube,No,No
15571,small_natural,train,0,,normal,B,File,No,No
23620,small_natural,train,0,,normal,C,File,No,No
25099,small_natural,train,0,,normal,C,File,No,No
31421,small_natural,train,0,,normal,C,Youtube,No,No
6732,small_natural,train,0,,normal,A,Twitch,No,No
13944,small_natural,train,0,,normal,B,File,No,No
16904,small_natural,train,0,,normal,B,Twitch,No,No
17566,small_natural,train,0,,normal,B,Twitch,No,No
16023,small_natural,train,0,,normal,B,File,No,No
8242,small_natural,train,0,,normal,A,Twitch,No,No
13723,small_natural,train,0,,normal,B,File,No,No
1874,small_natural,train,0,,normal,In motion,Youtube,Yes,No
3812,small_natural,train,0,,normal,A,File,No,No
22139,small_natural,train,0,,normal,C,File,No,Yes
14309,small_natural,train,0,,normal,B,File,No,No
16649,small_natural,train,0,,normal,B,Twitch,No,No
178,small_natural,train,1,Jamming,real,A,Twitch,No,No
18713,small_natural,train,0,,normal,B,Twitch,No,No
4389,small_natural,train,0,,normal,A,File,No,No
28909,small_natural,train,0,,normal,C,Twitch,No,No
5912,small_natural,train,0,,normal,A,File,No,No
16394,small_natural,train,0,,normal,B,Twitch,No,No
21484,small_natural,train,0,,normal,B,Youtube,No,No
4221,small_natural,train,0,,normal,A,File,No,No
8279,small_natural,train,0,,normal,A,Twitch,No,No
19439,small_natural,train,0,,normal,B,Youtube,No,No
29707,small_natural,train,0,,normal,C,Youtube,No,No
12945,small_natural,train,0,,normal,B,Youtube,No,Yes
5670,small_natural,train,0,,normal,A,File,No,No
30544,small_natural,train,0,,normal,C,Youtube,No,No
20424,small_natural,train,0,,normal,B,Youtube,No,No
4832,small_natural,train,0,,normal,A,File,No,No
30188,small_natural,train,0,,normal,C,Youtube,No,No
21069,small_natural,train,0,,normal,B,Youtube,No,No
1397,small_natural,train,0,,normal,In motion,File,Yes,No
15156,small_natural,train,0,,normal,B,File,No,No
30741,small_natural,train,0,,normal,C,Youtube,No,No
23469,small_natural,train,0,,normal,C,File,No,No
15004,small_natural,train,0,,normal,B,File,No,No
9287,small_natural,train,0,,normal,A,Youtube,No,No
1108,small_natural,train,1,Co-Channel Interference (Mild),synthetic,C,Twitch,No,No
22619,small_natural,train,0,,normal,C,Twitch,No,Yes
30046,small_natural,train,0,,normal,C,Youtube,No,No
6746,small_natural,train,0,,normal,A,Twitch,No,No
16127,small_natural,train,0,,normal,B,Twitch,No,No
20965,small_natural,train,0,,normal,B,Youtube,No,No
14852,small_natural,train,0,,normal,B,File,No,No
30254,small_natural,train,0,,normal,C,Youtube,No,No
18870,small_natural,train,0,,normal,B,Twitch,No,No
3794,small_natural,train,0,,normal,A,File,No,No
10884,small_natural,train,0,,normal,A,Youtube,No,No
26670,small_natural,train,0,,normal,C,Twitch,No,No
4444,small_natural,train,0,,normal,A,File,No,No
24192,small_natural,train,0,,normal,C,File,No,No
9799,small_natural,train,0,,normal,A,Youtube,No,No
22039,small_natural,train,0,,normal,B,Youtube,No,No
12781,small_natural,train,0,,normal,B,Youtube,No,Yes
17440,small_natural,train,0,,normal,B,Twitch,No,No
12168,small_natural,train,0,,normal,B,File,No,Yes
20449,small_natural,train,0,,normal,B,Youtube,No,No
1705,small_natural,train,0,,normal,In motion,Twitch,Yes,No
31961,small_natural,train,0,,normal,C,Youtube,No,No
15392,small_natural,train,0,,normal,B,File,No,No
260,small_natural,train,1,Jamming,real,A,Youtube,No,No
1930,small_natural,train,0,,normal,In motion,Youtube,Yes,No
4125,small_natural,train,0,,normal,A,File,No,No
18977,small_natural,train,0,,normal,B,Twitch,No,No
31577,small_natural,train,0,,normal,C,Youtube,No,No
21168,small_natural,train,0,,normal,B,Youtube,No,No
24732,small_natural,train,0,,normal,C,File,No,No
17211,small_natural,train,0,,normal,B,Twitch,No,No
