sample_id,split,partition,y,anomaly_type,anomaly_origin,zone,application,mobility,congestion
1209,split_rca_balanced,train,1,Co-Channel Interference (Mild),synthetic,C,Youtube,No,No
858,split_rca_balanced,train,1,High Network Congestion (Gradual Buildup),synthetic,B,Youtube,No,No
934,split_rca_balanced,train,1,Faulty RF Filters (Temporal),synthetic,C,File,No,No
601,split_rca_balanced,train,1,Resource Allocation Bugs,synthetic,B,File,No,No
737,split_rca_balanced,train,1,Buffer Overflow (Gradual Buildup),synthetic,B,Twitch,No,No
804,split_rca_balanced,train,1,Doppler Shift (Severe),synthetic,B,Twitch,No,No
1079,split_rca_balanced,train,1,Buffer Overflow (Gradual Buildup),synthetic,C,Twitch,No,No
685,split_rca_balanced,train,1,Resource Allocation Bugs,synthetic,B,File,No,No
1052,split_rca_balanced,train,1,Buffer Overflow (Gradual Buildup),synthetic,C,Twitch,No,No
806,split_rca_balanced,train,1,Faulty RF Filters (Temporal),synthetic,B,Twitch,No,No
833,split_rca_balanced,train,1,Buffer Overflow (Gradual Buildup),synthetic,B,Youtube,No,No
157,split_rca_balanced,train,1,Jamming,real,A,Twitch,No,No
150,split_rca_balanced,train,1,Jamming,real,A,Twitch,No,No
324,split_rca_balanced,train,1,Co-Channel Interference (Severe),synthetic,A,File,No,No
42,split_rca_balanced,train,1,Jamming,real,A,File,No,No
721,split_rca_balanced,train,1,Co-Channel Interference (Severe),synthetic,B,File,No,No
582,split_rca_balanced,train,1,Co-Channel Interference (Severe),synthetic,A,Youtube,No,No
979,split_rca_balanced,train,1,Antenna Failure,synthetic,C,File,No,No
1132,split_rca_balanced,train,1,Buffer Overflow (Gradual Buildup),synthetic,C,Youtube,No,No
188,split_rca_balanced,train,1,Jamming,real,A,Youtube,No,No
91,split_rca_balanced,train,1,Jamming,real,A,File,No,No
255,split_rca_balanced,train,1,Jamming,real,A,Youtube,No,No
168,split_rca_balanced,train,1,Jamming,real,A,Twitch,No,No
708,split_rca_balanced,train,1,Co-Channel Interference (Severe),synthetic,B,File,No,No
761,split_rca_balanced,train,1,Doppler Shift (Severe),synthetic,B,Twitch,No,No
808,split_rca_balanced,train,1,Buffer Overflow (Gradual Buildup),synthetic,B,Twitch,No,No
770,split_rca_balanced,train,1,Doppler Shift (Severe),synthetic,B,Twitch,No,No
395,split_rca_balanced,train,1,Co-Channel Interference (Mild),synthetic,A,Twitch,No,No
1179,split_rca_balanced,train,1,Buffer Overflow (Gradual Buildup),synthetic,C,Youtube,No,No
479,split_rca_balanced,train,1,Co-Channel Interference (Mild),synthetic,A,Youtube,No,No
431,split_rca_balanced,train,1,Antenna Failure,synthetic,A,Twitch,No,No
923,split_rca_balanced,train,1,Faulty RF Filters (Temporal),synthetic,C,File,No,No
776,split_rca_balanced,train,1,Buffer Overflow (Gradual Buildup),synthetic,B,Twitch,No,No
43,split_rca_balanced,train,1,Jamming,real,A,File,No,No
937,split_rca_balanced,train,1,Antenna Failure,synthetic,C,File,No,No
97,split_rca_balanced,train,1,Jamming,real,A,Twitch,No,No
484,split_rca_balanced,train,1,Co-Channel Interference (Severe),synthetic,A,Youtube,No,No
1233,split_rca_balanced,train,1,Co-Channel Interference (Mild),synthetic,C,Youtube,No,No
1099,split_rca_balanced,train,1,Resource Allocation Bugs,synthetic,C,Twitch,No,No
591,split_rca_balanced,train,1,Resource Allocation Bugs,synthetic,B,File,No,No
506,split_rca_balanced,train,1,Co-Channel Interference (Mild),synthetic,A,Youtube,No,No
213,split_rca_balanced,train,1,Jamming,real,A,Youtube,No,No
185,split_rca_balanced,train,1,Jamming,real,A,Twitch,No,No
652,split_rca_balanced,train,1,Antenna Failure,synthetic,B,File,No,No
826,split_rca_balanced,train,1,High Network Congestion (Gradual Buildup),synthetic,B,Youtube,No,No
768,split_rca_balanced,train,1,Buffer Overflow (Gradual Buildup),synthetic,B,Twitch,No,No
375,split_rca_balanced,train,1,Antenna Failure,synthetic,A,Twitch,No,No
560,split_rca_balanced,train,1,Buffer Overflow (Gradual Buildup),synthetic,A,Youtube,No,No
608,split_rca_balanced,train,1,Co-Channel Interference (Severe),synthetic,B,File,No,No
382,split_rca_balanced,train,1,Antenna Failure,synthetic,A,Twitch,No,No
1139,split_rca_balanced,train,1,Co-Channel Interference (Mild),synthetic,C,Youtube,No,No
