split,partition,context_field,value,count
small_natural,train,zone,A,222
small_natural,train,zone,C,202
small_natural,train,zone,B,197
small_natural,train,zone,In motion,19
small_natural,train,application,File,236
small_natural,train,application,Youtube,214
small_natural,train,application,Twitch,190
small_natural,train,mobility,No,621
small_natural,train,mobility,Yes,19
small_natural,train,congestion,No,593
small_natural,train,congestion,Yes,47
small_natural,val,zone,C,58
small_natural,val,zone,B,56
small_natural,val,zone,A,40
small_natural,val,zone,In motion,6
small_natural,val,application,Youtube,55
small_natural,val,application,File,53
small_natural,val,application,Twitch,52
small_natural,val,mobility,No,154
small_natural,val,mobility,Yes,6
small_natural,val,congestion,No,149
small_natural,val,congestion,Yes,11
small_natural,test,zone,B,72
small_natural,test,zone,C,65
small_natural,test,zone,A,61
small_natural,test,zone,In motion,2
small_natural,test,application,File,85
small_natural,test,application,Twitch,67
small_natural,test,application,Youtube,48
small_natural,test,mobility,No,198
small_natural,test,mobility,Yes,2
small_natural,test,congestion,No,179
small_natural,test,congestion,Yes,21
balanced_detection,train,zone,A,642
balanced_detection,train,zone,B,468
balanced_detection,train,zone,C,453
balanced_detection,train,zone,In motion,17
balanced_detection,train,application,File,549
balanced_detection,train,application,Youtube,536
balanced_detection,train,application,Twitch,495
balanced_detection,train,mobility,No,1563
balanced_detection,train,mobility,Yes,17
balanced_detection,train,congestion,No,1516
balanced_detection,train,congestion,Yes,64
balanced_detection,val,zone,A,150
balanced_detection,val,zone,C,133
balanced_detection,val,zone,B,109
balanced_detection,val,zone,In motion,4
balanced_detection,val,application,Youtube,137
balanced_detection,val,application,File,133
balanced_detection,val,application,Twitch,126
balanced_detection,val,mobility,No,392
balanced_detection,val,mobility,Yes,4
balanced_detection,val,congestion,No,373
balanced_detection,val,congestion,Yes,23
balanced_detection,test,zone,A,214
balanced_detection,test,zone,C,152
balanced_detection,test,zone,B,125
balanced_detection,test,zone,In motion,3
balanced_detection,test,application,File,179
balanced_detection,test,application,Youtube,162
balanced_detection,test,application,Twitch,153
balanced_detection,test,mobility,No,491
balanced_detection,test,mobility,Yes,3
balanced_detection,test,congestion,No,472
balanced_detection,test,congestion,Yes,22
controlled_500,train,zone,A,158
controlled_500,train,zone,B,71
controlled_500,train,zone,C,68
controlled_500,train,zone,In motion,3
controlled_500,train,application,File,105
controlled_500,train,application,Twitch,99
controlled_500,train,application,Youtube,96
controlled_500,train,mobility,No,297
controlled_500,train,mobility,Yes,3
controlled_500,train,congestion,No,289
controlled_500,train,congestion,Yes,11
controlled_500,val,zone,A,48
controlled_500,val,zone,B,27
controlled_500,val,zone,C,25
controlled_500,val,application,File,37
controlled_500,val,application,Youtube,34
controlled_500,val,application,Twitch,29
controlled_500,val,mobility,No,100
controlled_500,val,congestion,No,95
controlled_500,val,congestion,Yes,5
controlled_500,test,zone,A,51
controlled_500,test,zone,B,28
controlled_500,test,zone,C,20
controlled_500,test,zone,In motion,1
controlled_500,test,application,Twitch,39
controlled_500,test,application,File,33
controlled_500,test,application,Youtube,28
controlled_500,test,mobility,No,99
controlled_500,test,mobility,Yes,1
controlled_500,test,congestion,No,95
controlled_500,test,congestion,Yes,5
fullscale,train,zone,A,8377
fullscale,train,zone,C,8286
fullscale,train,zone,B,8179
fullscale,train,zone,In motion,758
fullscale,train,application,File,8567
fullscale,train,application,Youtube,8565
fullscale,train,application,Twitch,8468
fullscale,train,mobility,No,24842
fullscale,train,mobility,Yes,758
fullscale,train,congestion,No,23349
fullscale,train,congestion,Yes,2251
fullscale,test,zone,A,2161
fullscale,test,zone,B,2071
fullscale,test,zone,C,1999
fullscale,test,zone,In motion,169
fullscale,test,application,Twitch,2157
fullscale,test,application,Youtube,2123
fullscale,test,application,File,2120
fullscale,test,mobility,No,6231
fullscale,test,mobility,Yes,169
fullscale,test,congestion,No,5870
fullscale,test,congestion,Yes,530
split_rca_balanced,train,zone,A,475
split_rca_balanced,train,zone,C,277
split_rca_balanced,train,zone,B,236
split_rca_balanced,train,application,File,347
split_rca_balanced,train,application,Youtube,344
split_rca_balanced,train,application,Twitch,297
split_rca_balanced,train,mobility,No,988
split_rca_balanced,train,congestion,No,988
split_rca_balanced,test,zone,A,115
split_rca_balanced,test,zone,B,69
split_rca_balanced,test,zone,C,63
split_rca_balanced,test,application,Youtube,89
split_rca_balanced,test,application,File,85
split_rca_balanced,test,application,Twitch,73
split_rca_balanced,test,mobility,No,247
split_rca_balanced,test,congestion,No,247
