feature_set,n_features,model,accuracy_mean,accuracy_std,auroc_mean,auroc_std,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std
all_engineered,240,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
all_engineered,240,logreg,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
all_engineered,240,rf,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
kpi_means,16,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
kpi_means,16,logreg,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
kpi_means,16,rf,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
phy_only,30,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
phy_only,30,logreg,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
phy_only,30,rf,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
rsrp_only,15,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
rsrp_only,15,logreg,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0
rsrp_only,15,rf,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exclude_rsrp,225,hgb,0.9943319838056681,0.005491765168522484,0.9997379790802565,0.000351696781067463,0.9918660174534848,0.007881050529635386,0.9912891891049613,0.009652328294744373
exclude_rsrp,225,logreg,0.9854251012145749,0.007509002830360924,0.997985284785023,0.0018312795526856437,0.9792152082364405,0.010582475290338188,0.9791652288592733,0.006447658253721532
exclude_rsrp,225,rf,0.9894736842105262,0.007509002830360886,0.9996804384533442,0.00027688925080144986,0.9846635709727778,0.011010100719782374,0.9791828791845152,0.014237188411026483
