matching_strategy,feature_set,n_features,model,accuracy_mean,accuracy_std,auroc_mean,auroc_std,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std
exact,all_engineered,240,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exact,all_engineered,240,logreg,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exact,all_engineered,240,rf,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exact,kpi_means,16,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exact,kpi_means,16,logreg,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0
exact,kpi_means,16,rf,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exact,phy_only,30,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exact,phy_only,30,logreg,1.0,0.0,1.0,7.021666937153402e-17,1.0,0.0,1.0,0.0
exact,phy_only,30,rf,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exact,rsrp_only,15,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exact,rsrp_only,15,logreg,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0
exact,rsrp_only,15,rf,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exact,exclude_rsrp,225,hgb,0.9964124839124839,0.004393865557537548,0.9999362244897959,0.00012755102040812313,0.996412341545085,0.004394038621029924,0.9964285714285716,0.004374088826398517
exact,exclude_rsrp,225,logreg,0.9982142857142857,0.0035714285714285587,1.0,0.0,0.9982141433468866,0.0035717133062266094,0.9982142857142857,0.0035714285714285587
exact,exclude_rsrp,225,rf,0.9982142857142857,0.0035714285714285587,1.0,0.0,0.9982141433468866,0.0035717133062266094,0.9982142857142857,0.0035714285714285587
