control,seed,n_added,precision,recall,f1,auroc,avg_precision,normal_fpr,real_jamming_detection_rate,synthetic_detection_rate,mean_jamming_score,mean_synthetic_score,threshold,reweight_boost,matched_pool_size
calibration_real_f0.10,0,18,0.967741935483871,0.97165991902834,0.9696969696969697,0.9984938718547484,0.9885706725556971,0.001300178774581505,0.9710144927536232,0.9719101123595506,0.5222246460174382,0.9172117295511459,0.02024765213423892,,
A_extra_synthetic,0,18,0.9884393063583815,0.6923076923076923,0.8142857142857143,0.8759062923783598,0.762507939170802,0.00032504469364537625,0.0,0.9606741573033708,0.0005488993325740162,0.9177014933098425,0.035203957705505676,,
B_extra_normal,0,18,0.9361702127659575,0.7125506072874493,0.8091954022988506,0.9016654263645462,0.7808410201914604,0.0019502681618722574,0.028985507246376812,0.9775280898876404,0.000216373389325353,0.9183151658520875,0.0020704063563207996,,
C_reweight_synthetic,0,0,0.9664804469273743,0.7004048582995951,0.812206572769953,0.8760579579692208,0.7620747380885826,0.0009751340809361287,0.0,0.9719101123595506,0.000391782195485979,0.9114893957015581,0.02934438721545382,1.0255681818181819,
D_rsrp_matched_synth,0,0,,,,,,,,,,,,,0.0
calibration_real_f0.10,1,18,0.9631147540983607,0.951417004048583,0.9572301425661914,0.9966225619180532,0.9831780692413177,0.0014627011214041932,0.8985507246376812,0.9719101123595506,0.44551036443154807,0.9000671296369743,0.02870990905508288,,
A_extra_synthetic,1,18,0.9941176470588236,0.6842105263157895,0.8105515587529976,0.8840442534532709,0.7593058704425226,0.00016252234682268812,0.0,0.949438202247191,0.0007954060920310097,0.9017435926202451,0.08671753546548588,,
B_extra_normal,1,18,0.9611111111111111,0.7004048582995951,0.810304449648712,0.8674561173213948,0.7599338284640413,0.0011376564277588168,0.014492753623188406,0.9662921348314607,0.002450973964308844,0.8864793255259951,0.02157391496018731,,
C_reweight_synthetic,1,0,0.9827586206896551,0.6923076923076923,0.8123515439429929,0.8750222892489823,0.7599927854182665,0.00048756704046806434,0.0,0.9606741573033708,0.0003778129066687226,0.9028453417613145,0.02247232873482571,1.0255681818181819,
D_rsrp_matched_synth,1,0,,,,,,,,,,,,,0.0
calibration_real_f0.10,2,18,0.9710743801652892,0.951417004048583,0.9611451942740287,0.9991972580440337,0.9899538590275067,0.0011376564277588168,0.9130434782608695,0.9662921348314607,0.4449511720550125,0.9129301403850073,0.03029900092359056,,
A_extra_synthetic,2,18,0.9717514124293786,0.6963562753036437,0.8113207547169812,0.8910636396715075,0.7580204542811506,0.0008126117341134406,0.0,0.9662921348314607,9.211088312007354e-05,0.9202569809290112,0.008684658084555298,,
B_extra_normal,2,18,0.9884393063583815,0.6923076923076923,0.8142857142857143,0.8831247191225635,0.7615131755763453,0.00032504469364537625,0.0,0.9606741573033708,4.407522404610227e-05,0.9205339665495507,0.007350455879636897,,
C_reweight_synthetic,2,0,0.9717514124293786,0.6963562753036437,0.8113207547169812,0.884655192720578,0.7573683056806058,0.0008126117341134406,0.0,0.9662921348314607,0.0003957552542314637,0.9069872821138424,0.02492960031128413,1.0255681818181819,
D_rsrp_matched_synth,2,0,,,,,,,,,,,,,0.0
calibration_real_f0.10,3,18,0.9794238683127572,0.9635627530364372,0.9714285714285714,0.9980549957198063,0.9883226966028843,0.0008126117341134406,0.9565217391304348,0.9662921348314607,0.3621037662661442,0.9051765200082638,0.0214571090648983,,
A_extra_synthetic,3,18,0.9720670391061452,0.7044534412955465,0.8169014084507042,0.8835102984555113,0.760067544134532,0.0008126117341134406,0.0,0.9775280898876404,0.00015034436326890127,0.9291531143119067,0.008082125866619345,,
B_extra_normal,3,18,0.9560439560439561,0.7044534412955465,0.8111888111888111,0.8937847375066703,0.7657038049556502,0.001300178774581505,0.0,0.9775280898876404,4.8520202697890715e-05,0.9254791707427841,0.0025009879179131458,,
C_reweight_synthetic,3,0,1.0,0.6680161943319838,0.8009708737864077,0.8840718888320829,0.7564029699993575,0.0,0.0,0.9269662921348315,0.0004510002732659424,0.9076799845037787,0.26505842627092063,1.0255681818181819,
D_rsrp_matched_synth,3,0,,,,,,,,,,,,,0.0
calibration_real_f0.10,4,18,0.9954954954954955,0.8947368421052632,0.9424307036247335,0.9974779426908041,0.9835100080476338,0.00016252234682268812,0.7681159420289855,0.9438202247191011,0.49199137274366705,0.9068485835764633,0.07069342409935424,,
A_extra_synthetic,4,18,0.9826589595375722,0.6882591093117408,0.8095238095238095,0.9070303087727195,0.7686170943762093,0.00048756704046806434,0.0,0.9550561797752809,0.0005660075614700725,0.9088541463739933,0.039499733324984736,,
B_extra_normal,4,18,0.9941860465116279,0.6923076923076923,0.8162291169451074,0.8892295058991664,0.763818256788906,0.00016252234682268812,0.0,0.9606741573033708,0.0007995816521515867,0.9082443349767784,0.0551978984265937,,
C_reweight_synthetic,4,0,0.9884393063583815,0.6923076923076923,0.8142857142857143,0.8863448987393661,0.7542154584666584,0.00032504469364537625,0.0,0.9606741573033708,0.00033473353032143746,0.9102221313354142,0.03657649984993067,1.0255681818181819,
D_rsrp_matched_synth,4,0,,,,,,,,,,,,,0.0
calibration_real_f0.10,5,18,1.0,0.9190283400809717,0.9578059071729957,0.9985024256624759,0.9878992913468077,0.0,0.8405797101449275,0.949438202247191,0.5486426115227904,0.9194543623389514,0.05206154063927556,,
A_extra_synthetic,5,18,0.9774011299435028,0.7004048582995951,0.8160377358490566,0.8797101048762626,0.759737013575852,0.0006500893872907525,0.0,0.9719101123595506,0.00010466538047596546,0.9186557784646622,0.003654157830772918,,
B_extra_normal,5,18,0.9613259668508287,0.7044534412955465,0.8130841121495327,0.8727719798314373,0.7587547484511832,0.0011376564277588168,0.014492753623188406,0.9719101123595506,0.00048284100721394637,0.920095212187793,0.01008395426477571,,
C_reweight_synthetic,5,0,1.0,0.6842105263157895,0.8125,0.8865600599029735,0.7552670245654338,0.0,0.0,0.949438202247191,0.00014011404450278725,0.9124837720905915,0.04315063128749349,1.0255681818181819,
D_rsrp_matched_synth,5,0,,,,,,,,,,,,,0.0
calibration_real_f0.10,6,18,0.9916317991631799,0.9595141700404858,0.9753086419753086,0.99879786102168,0.9912263864406392,0.00032504469364537625,0.9130434782608695,0.9775280898876404,0.4030118304768127,0.9212545170762608,0.011239701932636412,,
A_extra_synthetic,6,18,0.9772727272727273,0.6963562753036437,0.8132387706855791,0.8863294360869357,0.7642403365827296,0.0006500893872907525,0.0,0.9662921348314607,0.00011774880634377818,0.9270152082024238,0.00510221239001579,,
B_extra_normal,6,18,0.9715909090909091,0.6923076923076923,0.8085106382978723,0.8772860873633281,0.763912265364996,0.0008126117341134406,0.0,0.9606741573033708,0.0013608788828771434,0.9075690532792391,0.03183709409611888,,
C_reweight_synthetic,6,0,0.9508196721311475,0.7044534412955465,0.8093023255813954,0.9078537772627946,0.7741653419459323,0.0014627011214041932,0.014492753623188406,0.9719101123595506,0.00014682899535571877,0.9222024116063753,0.0022127197981505527,1.0255681818181819,
D_rsrp_matched_synth,6,0,,,,,,,,,,,,,0.0
calibration_real_f0.10,7,18,0.9672131147540983,0.9554655870445344,0.9613034623217923,0.9967363933593499,0.9868127693969192,0.001300178774581505,0.8985507246376812,0.9775280898876404,0.3200146498386377,0.9078929391069251,0.02776491331312091,,
A_extra_synthetic,7,18,0.9942528735632183,0.7004048582995951,0.8218527315914489,0.8820877344319055,0.7583612132472825,0.00016252234682268812,0.0,0.9719101123595506,0.00012371965232251054,0.9123690761680165,0.0101379625054465,,
B_extra_normal,7,18,0.9459459459459459,0.708502024291498,0.8101851851851852,0.8810145605547078,0.7623483833484453,0.0016252234682268812,0.014492753623188406,0.9775280898876404,6.548428215297745e-05,0.9306857325132423,0.001953639592326311,,
C_reweight_synthetic,7,0,0.9772727272727273,0.6963562753036437,0.8132387706855791,0.8856184830677376,0.7600712682933471,0.0006500893872907525,0.0,0.9662921348314607,0.00020958736024264874,0.9130295502914065,0.012062357650585408,1.0255681818181819,
D_rsrp_matched_synth,7,0,,,,,,,,,,,,,0.0
calibration_real_f0.10,8,18,0.9486166007905138,0.97165991902834,0.96,0.9975325554632183,0.9840545007977247,0.0021127905086949453,0.9710144927536232,0.9719101123595506,0.5227073802256932,0.9105619675615982,0.016614558856628978,,
A_extra_synthetic,8,18,0.9941860465116279,0.6923076923076923,0.8162291169451074,0.8910366622779053,0.759395583644891,0.00016252234682268812,0.0,0.9606741573033708,0.00011520091447139521,0.9201649879683289,0.014698487726402804,,
B_extra_normal,8,18,0.9715909090909091,0.6923076923076923,0.8085106382978723,0.888454728314617,0.7607045898166795,0.0008126117341134406,0.0,0.9606741573033708,0.0003711750775744918,0.908250483051952,0.023643634432089326,,
C_reweight_synthetic,8,0,0.9885057471264368,0.6963562753036437,0.8171021377672208,0.8848226499564743,0.7535821433248512,0.00032504469364537625,0.0,0.9662921348314607,8.09905898213493e-05,0.9100108282489404,0.0125846326104565,1.0255681818181819,
D_rsrp_matched_synth,8,0,,,,,,,,,,,,,0.0
calibration_real_f0.10,9,18,0.9752066115702479,0.9554655870445344,0.9652351738241309,0.9988616855870315,0.9890004143078336,0.0009751340809361287,0.9420289855072463,0.9606741573033708,0.5826437633647366,0.9103768892962483,0.028387123140621424,,
A_extra_synthetic,9,18,0.9829545454545454,0.7004048582995951,0.817966903073286,0.8758395068795644,0.7603769709046473,0.00048756704046806434,0.0,0.9719101123595506,0.0004495436100142204,0.9101359728218655,0.020933724127744798,,
B_extra_normal,9,18,0.9942528735632183,0.7004048582995951,0.8218527315914489,0.8815695710791813,0.7596604560472812,0.00016252234682268812,0.0,0.9719101123595506,0.0002635979196855639,0.9260942851250997,0.037444757131330934,,
C_reweight_synthetic,9,0,0.9940476190476191,0.6761133603238867,0.8048192771084337,0.8745922959143725,0.7620154128766541,0.00016252234682268812,0.0,0.9382022471910112,0.00013211839590462543,0.9106433813152729,0.04452121955005987,1.0255681818181819,
D_rsrp_matched_synth,9,0,,,,,,,,,,,,,0.0
