setting,regime,detector,seed,n_train,n_val,n_test,n_real_test,n_synth_test,threshold,f1,precision,recall,auroc,avg_precision,real_det,synth_det,normal_fpr,fit_time_sec,note
controlled_500,all_origins,HGB,0,300,100,100,25,25,0.33,0.9900990099009901,0.9803921568627451,1.0,0.9995999999999999,0.999607843137255,1.0,1.0,0.02,0.7423379421234131,ok
controlled_500,all_origins,RF,0,300,100,100,25,25,0.54,0.9795918367346939,1.0,0.96,0.9996,0.9996078431372548,1.0,0.92,0.0,0.18018198013305664,ok
controlled_500,all_origins,LR,0,300,100,100,25,25,0.55,0.9306930693069307,0.9215686274509803,0.94,0.9908,0.9912837732544608,1.0,0.88,0.08,0.04910397529602051,ok
controlled_500,all_origins,kNN,0,300,100,100,25,25,0.01,0.875,0.7903225806451613,0.98,0.9634,0.9545682684582115,1.0,0.96,0.26,0.06544733047485352,ok
controlled_500,all_origins,MLP,0,300,100,100,25,25,0.47000000000000003,0.8932038834951457,0.8679245283018868,0.92,0.9812000000000001,0.9828506856203993,0.96,0.88,0.14,0.0651710033416748,ok
controlled_500,all_origins,XGB,0,300,100,100,25,25,0.52,0.9615384615384616,0.9259259259259259,1.0,0.9992,0.999207843137255,1.0,1.0,0.08,0.3296828269958496,ok
controlled_500,all_origins,HGB,1,300,100,100,25,25,0.68,0.9591836734693877,0.9791666666666666,0.94,0.9792000000000001,0.9864466078501033,1.0,0.88,0.02,0.8650870323181152,ok
controlled_500,all_origins,RF,1,300,100,100,25,25,0.48000000000000004,0.9504950495049505,0.9411764705882353,0.96,0.9822,0.9876459625326879,1.0,0.92,0.06,0.16771602630615234,ok
controlled_500,all_origins,LR,1,300,100,100,25,25,0.38,0.9019607843137255,0.8846153846153846,0.92,0.9588,0.9703622259372866,0.96,0.88,0.12,0.04864978790283203,ok
controlled_500,all_origins,kNN,1,300,100,100,25,25,0.41000000000000003,0.7415730337078652,0.8461538461538461,0.66,0.8892,0.884395991332611,0.92,0.4,0.12,0.051085710525512695,ok
controlled_500,all_origins,MLP,1,300,100,100,25,25,0.44,0.8952380952380953,0.8545454545454545,0.94,0.9512,0.9495052143008724,1.0,0.88,0.16,0.061234235763549805,ok
controlled_500,all_origins,XGB,1,300,100,100,25,25,0.38,0.96,0.96,0.96,0.976,0.9847092341127296,1.0,0.92,0.04,0.3442370891571045,ok
controlled_500,all_origins,HGB,2,300,100,100,25,25,0.78,0.9690721649484536,1.0,0.94,0.9975999999999999,0.9976754475375056,1.0,0.88,0.0,0.7946817874908447,ok
