held_out_type,fraction,seed,n_inject,n_T_train_pool,holdout_recall,trained_recall_avg,normal_fpr,auroc,threshold
Jamming,0.0,0,0,56,0.13901345291479822,0.9947643979057592,0.01932367149758454,0.7819494037200401,0.04
Jamming,0.0,1,0,56,0.06278026905829596,0.9895287958115183,0.014492753623188406,0.7377826787089548,0.06999999999999999
Jamming,0.0,2,0,56,0.08071748878923767,0.9842931937172775,0.00966183574879227,0.8157483255151814,0.23
Jamming,0.0,3,0,56,0.06726457399103139,0.9842931937172775,0.028985507246376812,0.7653912576722911,0.02
Jamming,0.0,4,0,56,0.13004484304932734,0.9947643979057592,0.00966183574879227,0.753156433055614,0.04
Jamming,0.0,5,0,56,0.013452914798206279,0.9790575916230366,0.0,0.7544108380592311,0.34
Jamming,0.0,6,0,56,0.08520179372197309,0.9895287958115183,0.0024154589371980675,0.7808116875539686,0.08
Jamming,0.0,7,0,56,0.07174887892376682,0.9895287958115183,0.028985507246376812,0.780094051203062,0.02
Jamming,0.0,8,0,56,0.1210762331838565,0.9738219895287958,0.016908212560386472,0.7454549697775911,0.01
Jamming,0.0,9,0,56,0.16143497757847533,0.9842931937172775,0.026570048309178744,0.7630049709444795,0.03
Jamming,0.05,0,3,56,0.14798206278026907,0.9947643979057592,0.01932367149758454,0.8699619594389602,0.09999999999999999
Jamming,0.05,1,3,56,0.12556053811659193,0.9895287958115183,0.014492753623188406,0.837131554995449,0.060000000000000005
Jamming,0.05,2,3,56,0.2556053811659193,0.9842931937172775,0.016908212560386472,0.8863684099978998,0.06999999999999999
Jamming,0.05,3,3,56,0.08071748878923767,0.9790575916230366,0.00966183574879227,0.8865376088123411,0.24000000000000002
Jamming,0.05,4,3,56,0.15246636771300448,0.9842931937172775,0.007246376811594203,0.873100889168942,0.13
Jamming,0.05,5,3,56,0.017937219730941704,0.9581151832460733,0.0,0.9258500781815211,0.9400000000000001
Jamming,0.05,6,3,56,0.16591928251121077,0.9895287958115183,0.012077294685990338,0.8214544096711708,0.05
Jamming,0.05,7,3,56,0.15695067264573992,0.9895287958115183,0.024154589371980676,0.8235022987700997,0.09
Jamming,0.05,8,3,56,0.24663677130044842,0.9738219895287958,0.024154589371980676,0.9179327405540386,0.01
Jamming,0.05,9,3,56,0.21076233183856502,0.9895287958115183,0.024154589371980676,0.8731008891689422,0.03
Jamming,0.1,0,6,56,0.21973094170403587,0.9947643979057592,0.016908212560386472,0.9668428668113607,0.11
Jamming,0.1,1,6,56,0.10762331838565023,0.9895287958115183,0.007246376811594203,0.8914735466405282,0.63
Jamming,0.1,2,6,56,0.42152466367713004,0.9842931937172775,0.033816425120772944,0.9146246120096151,0.02
