held_out_type,fraction,n_seeds,holdout_mean,holdout_std,trained_mean,normal_fpr_mean,auroc_mean
Co-Channel Interference (Severe),0.0,10,1.0,0.0,0.9852678571428571,0.010793650793650795,0.999474930713026
Co-Channel Interference (Severe),0.05,10,1.0,0.0,0.9883928571428571,0.01111111111111111,0.9994598135550516
Co-Channel Interference (Severe),0.1,10,0.9989010989010989,0.0034750303957894156,0.9888392857142858,0.010476190476190476,0.999525321239607
Co-Channel Interference (Severe),0.25,10,1.0,0.0,0.9897321428571428,0.010476190476190476,0.9994840010078105
Doppler Shift (Severe),0.0,10,0.9594202898550724,0.039127452620901636,0.981304347826087,0.01137123745819398,0.9984575116609434
Doppler Shift (Severe),0.05,10,0.9681159420289855,0.023468517490804107,0.981304347826087,0.009698996655518394,0.9985525888972159
Doppler Shift (Severe),0.1,10,0.9768115942028986,0.028334064345150126,0.9830434782608697,0.012709030100334449,0.9985100837798235
Doppler Shift (Severe),0.25,10,0.972463768115942,0.03308385249906073,0.9821739130434782,0.009698996655518394,0.9986219393519088
Jamming,0.0,10,0.09327354260089686,0.04412985424360286,0.9863874345549739,0.01570048309178744,0.7677804616210413
Jamming,0.05,10,0.15605381165919283,0.0722392312223893,0.9832460732984293,0.015217391304347827,0.8714940838759364
Jamming,0.1,10,0.28295964125560535,0.1844019519711921,0.9816753926701571,0.015217391304347825,0.940544120049476
Jamming,0.25,10,0.757847533632287,0.24515111726102445,0.9827225130890053,0.0178743961352657,0.9934660085416229
