held_out_type,seed,n_train,n_val,n_test,n_T_test,n_other_test,n_norm_test,threshold,holdout_recall,trained_recall_avg,normal_fpr,f1,auroc
Jamming,0,1300,230,828,223,191,414,0.04,0.13901345291479822,0.9947643979057592,0.01932367149758454,0.687402799377916,0.7819494037200401
Jamming,1,1300,230,828,223,191,414,0.06999999999999999,0.06278026905829596,0.9895287958115183,0.014492753623188406,0.651685393258427,0.7377826787089548
Jamming,2,1300,230,828,223,191,414,0.23,0.08071748878923767,0.9842931937172775,0.00966183574879227,0.6602564102564102,0.8157483255151814
Jamming,3,1300,230,828,223,191,414,0.02,0.06726457399103139,0.9842931937172775,0.028985507246376812,0.6454689984101749,0.7653912576722911
Jamming,4,1300,230,828,223,191,414,0.04,0.13004484304932734,0.9947643979057592,0.00966183574879227,0.6875981161695447,0.753156433055614
Jamming,5,1300,230,828,223,191,414,0.34,0.013452914798206279,0.9790575916230366,0.0,0.6291390728476821,0.7544108380592311
Jamming,6,1300,230,828,223,191,414,0.08,0.08520179372197309,0.9895287958115183,0.0024154589371980675,0.6677367576243981,0.7808116875539686
Jamming,7,1300,230,828,223,191,414,0.02,0.07174887892376682,0.9895287958115183,0.028985507246376812,0.6497622820919176,0.780094051203062
Jamming,8,1300,230,828,223,191,414,0.01,0.1210762331838565,0.9738219895287958,0.016908212560386472,0.6719242902208202,0.7454549697775911
Jamming,9,1300,230,828,223,191,414,0.03,0.16143497757847533,0.9842931937172775,0.026570048309178744,0.6902927580893683,0.7630049709444795
High Network Congestion (Gradual Buildup),0,1553,275,604,74,228,302,0.11,0.972972972972973,0.9736842105263158,0.009933774834437087,0.9816360601001669,0.9986623393710803
High Network Congestion (Gradual Buildup),1,1553,275,604,74,228,302,0.11,0.9864864864864865,0.9692982456140351,0.0033112582781456954,0.9849246231155779,0.9982237621156966
High Network Congestion (Gradual Buildup),2,1553,275,604,74,228,302,0.22,0.972972972972973,0.9824561403508771,0.009933774834437087,0.9850249584026622,0.999254418665848
High Network Congestion (Gradual Buildup),3,1553,275,604,74,228,302,0.6900000000000001,0.9459459459459459,0.9385964912280702,0.0,0.9692832764505119,0.9931581948160169
High Network Congestion (Gradual Buildup),4,1553,275,604,74,228,302,0.86,0.9864864864864865,0.9692982456140351,0.0033112582781456954,0.9849246231155779,0.9995394938818473
High Network Congestion (Gradual Buildup),5,1553,275,604,74,228,302,0.68,0.972972972972973,0.9912280701754386,0.023178807947019868,0.9818780889621087,0.9990022367440025
High Network Congestion (Gradual Buildup),6,1553,275,604,74,228,302,0.01,1.0,1.0,0.046357615894039736,0.9773462783171522,0.9995943160387702
