held_out_type,n_seeds,n_T_test_avg,holdout_recall_mean,holdout_recall_std,holdout_recall_ci_lo,holdout_recall_ci_hi,trained_recall_avg,normal_fpr,f1_mean,f1_std,auroc_mean,auroc_std
Jamming,10,223.0,0.09327354260089686,0.044129854243602856,0.06591928251121076,0.11973094170403586,0.9863874345549739,0.01570048309178744,0.664126687834666,0.02054676872360677,0.7677804616210414,0.022712036560553334
High Network Congestion (Gradual Buildup),10,74.0,0.9810810810810813,0.017093392757666904,0.9702702702702704,0.9905405405405405,0.9776315789473683,0.012582781456953643,0.9828528062255752,0.006286920849114424,0.9982994166922504,0.0019717859945055823
High Network Congestion (Sudden Spike),10,38.0,0.681578947368421,0.07591647902953967,0.6368421052631579,0.7236842105263157,0.9848101265822784,0.013454545454545455,0.96385422741499,0.009145418549728529,0.9915477685950412,0.0022915176413245194
Co-Channel Interference (Severe),10,91.0,1.0,0.0,1.0,1.0,0.9852678571428571,0.010793650793650795,0.9893797021386881,0.004507265842430328,0.999474930713026,0.00041881638524121325
Co-Channel Interference (Mild),10,117.0,0.7871794871794873,0.08022358995047736,0.7384615384615385,0.8333333333333334,0.9853211009174313,0.014029850746268658,0.9490711608991524,0.013735372703710478,0.9923537536199598,0.002944812815756551
Faulty RF Filters (Temporal),10,80.0,0.96875,0.019764235376052385,0.95625,0.9800000000000001,0.9881057268722466,0.00977198697068404,0.9865921491724248,0.0048100768991568435,0.9990015809186303,0.0006128543078036
Doppler Shift (Severe),10,69.0,0.9594202898550724,0.03912745262090162,0.9347463768115941,0.981159420289855,0.9813043478260871,0.01137123745819398,0.9822946125563549,0.009511841995846863,0.9984575116609434,0.0016414417208521575
Resource Allocation Bugs,10,48.0,0.9020833333333333,0.051078265412314715,0.86875,0.9291666666666668,0.9842553191489362,0.009540636042402826,0.9801594018815587,0.007422397982488262,0.9987376543595252,0.0006879696356335851
Antenna Failure,10,86.0,0.9988372093023254,0.0036770670467074244,0.9965116279069768,1.0,0.9858407079646018,0.01730769230769231,0.986119564122786,0.004054518116846473,0.9989357330703484,0.0006413782158710671
Faulty Handover Algorithm (Too Frequent),10,51.0,0.776470588235294,0.03358230739520296,0.7588235294117647,0.7960784313725491,0.9854700854700855,0.011228070175438596,0.9677522921371198,0.004857744905202139,0.9950298553401048,0.001493793525649374
Buffer Overflow (Gradual Buildup),10,110.0,0.9536363636363635,0.018407687937560542,0.9436363636363637,0.9645454545454545,0.984931506849315,0.016717325227963525,0.978786405240931,0.004372959146024983,0.9967590838961208,0.0015190744738353473
