fraction,n_injected_radio,seed,n_train,threshold,f1,auroc,real_recall_radio,synth_recall_non_radio,normal_fpr
0.0,0,0,849,0.02,0.8,0.9487697039600154,0.14285714285714285,1.0,0.058823529411764705
0.0,0,1,849,0.01,0.8586956521739131,0.9400230680507498,0.34285714285714286,1.0,0.029411764705882353
0.0,0,2,849,0.03,0.7861271676300579,0.9403114186851212,0.05714285714285714,0.9850746268656716,0.029411764705882353
0.0,0,3,849,0.42000000000000004,0.7619047619047619,0.9363706266820455,0.0,0.9552238805970149,0.0196078431372549
0.0,0,4,849,0.09999999999999999,0.7602339181286549,0.9297385620915033,0.0,0.9701492537313433,0.0392156862745098
0.0,0,5,849,0.060000000000000005,0.7764705882352941,0.9428104575163399,0.0,0.9850746268656716,0.0196078431372549
0.0,0,6,849,0.65,0.7619047619047619,0.9457900807381776,0.0,0.9552238805970149,0.0196078431372549
0.0,0,7,849,0.99,0.7317073170731707,0.9444444444444445,0.0,0.8955223880597015,0.0196078431372549
0.0,0,8,849,0.09999999999999999,0.7647058823529411,0.9222414455978469,0.0,0.9701492537313433,0.029411764705882353
0.0,0,9,849,0.01,0.8202247191011236,0.9382929642445212,0.22857142857142856,0.9701492537313433,0.029411764705882353
0.01,2,0,851,0.9500000000000001,0.7469879518072289,0.9586697424067666,0.0,0.9253731343283582,0.0196078431372549
0.01,2,1,851,0.6900000000000001,0.7906976744186046,0.9568435217224144,0.08571428571428572,0.9701492537313433,0.0196078431372549
0.01,2,2,851,0.92,0.7393939393939394,0.9707804690503653,0.0,0.9104477611940298,0.0196078431372549
0.01,2,3,851,0.09999999999999999,0.7790697674418605,0.9596309111880046,0.05714285714285714,0.9701492537313433,0.029411764705882353
0.01,2,4,851,0.89,0.7906976744186046,0.9604959630911187,0.08571428571428572,0.9701492537313433,0.0196078431372549
0.01,2,5,851,0.9500000000000001,0.7544910179640718,0.9672241445597847,0.05714285714285714,0.9104477611940298,0.0196078431372549
0.01,2,6,851,0.59,0.8181818181818182,0.9551134179161861,0.2571428571428571,0.9402985074626866,0.0196078431372549
0.01,2,7,851,0.22,0.8248587570621468,0.9481930026912726,0.2571428571428571,0.9552238805970149,0.0196078431372549
0.01,2,8,851,0.76,0.7647058823529411,0.9426182237600923,0.02857142857142857,0.9552238805970149,0.029411764705882353
0.01,2,9,851,0.04,0.8958333333333334,0.9480968858131489,0.6,0.9701492537313433,0.0392156862745098
0.05,10,0,858,0.01,0.93,0.9794309880815071,0.7428571428571429,1.0,0.049019607843137254
0.05,10,1,858,0.81,0.8314606741573034,0.9780853517877739,0.3142857142857143,0.9402985074626866,0.0196078431372549
0.05,10,2,858,0.75,0.8633879781420765,0.9800076893502498,0.45714285714285713,0.9402985074626866,0.0196078431372549
0.05,10,3,858,0.44,0.900523560209424,0.9807766243752403,0.6,0.9701492537313433,0.029411764705882353
0.05,10,4,858,0.060000000000000005,0.8947368421052632,0.9754901960784313,0.5714285714285714,0.9701492537313433,0.029411764705882353
0.05,10,5,858,0.16,0.9015544041450777,0.9726066897347174,0.6,0.9850746268656716,0.0392156862745098
0.05,10,6,858,0.01,0.8934010152284264,0.9764513648596693,0.6285714285714286,0.9850746268656716,0.06862745098039216
0.05,10,7,858,0.9600000000000001,0.8248587570621468,0.9682814302191465,0.2857142857142857,0.9402985074626866,0.0196078431372549
0.05,10,8,858,0.48000000000000004,0.8888888888888888,0.9810649750096117,0.6,0.9402985074626866,0.029411764705882353
0.05,10,9,858,0.9400000000000001,0.8571428571428571,0.9800076893502498,0.4,0.9552238805970149,0.0196078431372549
0.1,21,0,868,0.85,0.8888888888888888,0.9846212995001923,0.5714285714285714,0.9552238805970149,0.029411764705882353
0.1,21,1,868,0.04,0.9292929292929293,0.9855824682814301,0.7428571428571429,0.9850746268656716,0.0392156862745098
0.1,21,2,868,0.02,0.9246231155778895,0.9782775855440216,0.7428571428571429,0.9850746268656716,0.049019607843137254
0.1,21,3,868,0.09999999999999999,0.914572864321608,0.9825067281814687,0.7142857142857143,0.9850746268656716,0.058823529411764705
0.1,21,4,868,0.01,0.9045226130653267,0.9750096116878124,0.6857142857142857,0.9850746268656716,0.06862745098039216
0.1,21,5,868,0.62,0.8947368421052632,0.9807766243752403,0.6571428571428571,0.9253731343283582,0.029411764705882353
0.1,21,6,868,0.62,0.9128205128205128,0.9828911956939639,0.6857142857142857,0.9701492537313433,0.0392156862745098
0.1,21,7,868,0.18000000000000002,0.8979591836734694,0.9753940792003076,0.6285714285714286,0.9850746268656716,0.058823529411764705
0.1,21,8,868,0.76,0.90625,0.9796232218377547,0.6285714285714286,0.9701492537313433,0.029411764705882353
0.1,21,9,868,0.27,0.9072164948453608,0.9846212995001922,0.6571428571428571,0.9701492537313433,0.0392156862745098
