detector,fraction,n_injected_radio,seed,n_train,threshold,f1,auroc,real_recall_radio,synth_recall_non_radio,normal_fpr,fit_time_sec
PatchTST (e2e),0.0,0,0,-1,,0.724,0.85,0.314,0.776,0.088,213.0
PatchTST (e2e),0.0,0,1,-1,,0.581,0.885,0.029,0.627,0.029,175.2
PatchTST (e2e),0.0,0,2,-1,,0.46,0.862,0.029,0.463,0.049,160.6
PatchTST (e2e),0.0,0,3,-1,,0.686,0.84,0.086,0.836,0.108,166.6
PatchTST (e2e),0.0,0,4,-1,,0.749,0.831,0.2,0.896,0.098,165.9
PatchTST (e2e),0.0,0,5,-1,,0.378,0.817,0.029,0.343,0.01,149.1
PatchTST (e2e),0.0,0,6,-1,,0.525,0.883,0.057,0.522,0.02,147.8
PatchTST (e2e),0.0,0,7,-1,,0.542,0.863,0.0,0.582,0.029,153.1
PatchTST (e2e),0.0,0,8,-1,,0.708,0.89,0.143,0.866,0.127,151.3
PatchTST (e2e),0.0,0,9,-1,,0.734,0.88,0.343,0.791,0.098,149.0
PatchTST (e2e),0.1,21,0,-1,,0.742,0.828,0.4,0.866,0.196,152.7
PatchTST (e2e),0.1,21,1,-1,,0.662,0.887,0.143,0.716,0.049,156.5
PatchTST (e2e),0.1,21,2,-1,,0.827,0.917,0.629,0.881,0.127,159.0
PatchTST (e2e),0.1,21,3,-1,,0.832,0.887,0.571,0.925,0.127,159.7
PatchTST (e2e),0.1,21,4,-1,,0.698,0.885,0.171,0.791,0.078,169.0
PatchTST (e2e),0.1,21,5,-1,,0.779,0.869,0.457,0.866,0.137,164.5
PatchTST (e2e),0.1,21,6,-1,,0.671,0.91,0.086,0.776,0.069,178.7
PatchTST (e2e),0.1,21,7,-1,,0.61,0.802,0.143,0.627,0.049,174.3
PatchTST (e2e),0.1,21,8,-1,,0.642,0.858,0.171,0.687,0.078,168.3
PatchTST (e2e),0.1,21,9,-1,,0.388,0.864,0.029,0.358,0.02,168.0
PatchTST (e2e),0.25,52,0,-1,,0.581,0.858,0.343,0.463,0.029,175.7
PatchTST (e2e),0.25,52,1,-1,,0.733,0.924,0.457,0.701,0.069,176.2
PatchTST (e2e),0.25,52,2,-1,,0.679,0.903,0.2,0.731,0.069,170.4
PatchTST (e2e),0.25,52,3,-1,,0.594,0.85,0.114,0.627,0.069,176.2
PatchTST (e2e),0.25,52,4,896,0.13,0.7344632768361582,0.8702422145328719,0.5714285714285714,0.6716417910447762,0.09803921568627451,273.32447719573975
PatchTST (e2e),0.25,52,5,896,0.89,0.6857142857142857,0.8302575932333718,0.2857142857142857,0.746268656716418,0.12745098039215685,254.0918538570404
PatchTST (e2e),0.25,52,6,896,0.02,0.38461538461538464,0.9003748558246828,0.08571428571428572,0.3283582089552239,0.029411764705882353,254.66705513000488
PatchTST (e2e),0.25,52,7,896,0.06999999999999999,0.7596153846153846,0.8303056516724336,0.6857142857142857,0.8208955223880597,0.2647058823529412,253.69732117652893
PatchTST (e2e),0.25,52,8,896,0.01,0.5866666666666667,0.9214725105728565,0.22857142857142856,0.5373134328358209,0.0392156862745098,255.69730615615845
PatchTST (e2e),0.25,52,9,896,0.01,0.7325581395348837,0.8803825451749326,0.37142857142857144,0.746268656716418,0.06862745098039216,204.5169620513916
