detector,fraction,n_injected_radio,seed,n_train,threshold,f1,auroc,real_recall_radio,synth_recall_non_radio,normal_fpr,fit_time_sec
HGB,0.0,0,0,849,0.02,0.8,0.9487697039600154,0.14285714285714285,1.0,0.058823529411764705,3.919017791748047
HGB,0.0,0,1,849,0.01,0.8586956521739131,0.9400230680507498,0.34285714285714286,1.0,0.029411764705882353,4.132295370101929
HGB,0.0,0,2,849,0.03,0.7861271676300579,0.9403114186851212,0.05714285714285714,0.9850746268656716,0.029411764705882353,3.9330482482910156
HGB,0.0,0,3,849,0.42000000000000004,0.7619047619047619,0.9363706266820455,0.0,0.9552238805970149,0.0196078431372549,3.9582316875457764
HGB,0.0,0,4,849,0.09999999999999999,0.7602339181286549,0.9297385620915033,0.0,0.9701492537313433,0.0392156862745098,3.9747889041900635
HGB,0.0,0,5,849,0.060000000000000005,0.7764705882352941,0.9428104575163399,0.0,0.9850746268656716,0.0196078431372549,3.998717784881592
HGB,0.0,0,6,849,0.65,0.7619047619047619,0.9457900807381776,0.0,0.9552238805970149,0.0196078431372549,3.9472122192382812
HGB,0.0,0,7,849,0.99,0.7317073170731707,0.9444444444444445,0.0,0.8955223880597015,0.0196078431372549,4.012192964553833
HGB,0.0,0,8,849,0.09999999999999999,0.7647058823529411,0.9222414455978469,0.0,0.9701492537313433,0.029411764705882353,3.943991184234619
HGB,0.0,0,9,849,0.01,0.8202247191011236,0.9382929642445212,0.22857142857142856,0.9701492537313433,0.029411764705882353,3.994858980178833
HGB,0.1,21,0,868,0.85,0.8888888888888888,0.9846212995001923,0.5714285714285714,0.9552238805970149,0.029411764705882353,4.189355134963989
HGB,0.1,21,1,868,0.04,0.9292929292929293,0.9855824682814301,0.7428571428571429,0.9850746268656716,0.0392156862745098,4.313707113265991
HGB,0.1,21,2,868,0.02,0.9246231155778895,0.9782775855440216,0.7428571428571429,0.9850746268656716,0.049019607843137254,4.23579478263855
HGB,0.1,21,3,868,0.09999999999999999,0.914572864321608,0.9825067281814687,0.7142857142857143,0.9850746268656716,0.058823529411764705,4.414908170700073
HGB,0.1,21,4,868,0.01,0.9045226130653267,0.9750096116878124,0.6857142857142857,0.9850746268656716,0.06862745098039216,4.379688262939453
HGB,0.1,21,5,868,0.62,0.8947368421052632,0.9807766243752403,0.6571428571428571,0.9253731343283582,0.029411764705882353,4.311225891113281
HGB,0.1,21,6,868,0.62,0.9128205128205128,0.9828911956939639,0.6857142857142857,0.9701492537313433,0.0392156862745098,4.103783845901489
HGB,0.1,21,7,868,0.18000000000000002,0.8979591836734694,0.9753940792003076,0.6285714285714286,0.9850746268656716,0.058823529411764705,4.122746706008911
HGB,0.1,21,8,868,0.76,0.90625,0.9796232218377547,0.6285714285714286,0.9701492537313433,0.029411764705882353,4.293159008026123
HGB,0.1,21,9,868,0.27,0.9072164948453608,0.9846212995001922,0.6571428571428571,0.9701492537313433,0.0392156862745098,4.3239569664001465
HGB,0.25,52,0,896,0.21000000000000002,0.9458128078817734,0.9860630526720493,0.8857142857142857,0.9701492537313433,0.049019607843137254,4.461704969406128
HGB,0.25,52,1,896,0.05,0.9458128078817734,0.9883698577470204,0.8285714285714286,1.0,0.049019607843137254,4.445739030838013
HGB,0.25,52,2,896,0.01,0.9569377990430622,0.9867358708189158,0.9428571428571428,1.0,0.06862745098039216,4.441208839416504
HGB,0.25,52,3,896,0.03,0.9519230769230769,0.9878892733564014,0.9428571428571428,0.9850746268656716,0.06862745098039216,4.522868871688843
HGB,0.25,52,4,896,0.15000000000000002,0.93,0.9833717800845828,0.7714285714285715,0.9850746268656716,0.049019607843137254,4.4381959438323975
HGB,0.25,52,5,896,0.06999999999999999,0.914572864321608,0.9834678969627066,0.7428571428571429,0.9701492537313433,0.058823529411764705,4.549926042556763
HGB,0.25,52,6,896,0.060000000000000005,0.9359605911330049,0.9836601307189542,0.8,1.0,0.058823529411764705,4.422414064407349
HGB,0.25,52,7,896,0.8,0.9183673469387755,0.9839484813533257,0.7142857142857143,0.9701492537313433,0.0392156862745098,4.513305902481079
HGB,0.25,52,8,896,0.01,0.9371980676328503,0.9876009227220299,0.8571428571428571,1.0,0.0784313725490196,4.566319942474365
HGB,0.25,52,9,896,0.01,0.9371980676328503,0.9808727412533641,0.8571428571428571,1.0,0.0784313725490196,4.649117946624756
RF,0.0,0,0,849,0.77,0.7080745341614907,0.9264705882352942,0.0,0.8507462686567164,0.0196078431372549,0.26950502395629883
RF,0.0,0,1,849,0.55,0.7529411764705882,0.9245001922337563,0.0,0.9552238805970149,0.0392156862745098,0.24772310256958008
RF,0.0,0,2,849,0.65,0.7393939393939394,0.931757016532103,0.0,0.9104477611940298,0.0196078431372549,0.23518824577331543
RF,0.0,0,3,849,0.55,0.7602339181286549,0.9127258746635909,0.0,0.9701492537313433,0.0392156862745098,0.2350919246673584
RF,0.0,0,4,849,0.5800000000000001,0.7558139534883721,0.9164744329104192,0.0,0.9701492537313433,0.049019607843137254,0.23567605018615723
RF,0.0,0,5,849,0.47000000000000003,0.7630057803468208,0.9345444059976931,0.0,0.9850746268656716,0.049019607843137254,0.228410005569458
RF,0.0,0,6,849,0.6,0.7529411764705882,0.9108996539792388,0.0,0.9552238805970149,0.0392156862745098,0.2266538143157959
RF,0.0,0,7,849,0.6900000000000001,0.7393939393939394,0.9280084582852749,0.0,0.9104477611940298,0.0196078431372549,0.23317503929138184
RF,0.0,0,8,849,0.47000000000000003,0.7657142857142857,0.9173875432525952,0.0,1.0,0.058823529411764705,0.23740100860595703
RF,0.0,0,9,849,0.42000000000000004,0.7613636363636364,0.9163302575932335,0.0,1.0,0.06862745098039216,0.22889089584350586
RF,0.1,21,0,868,0.73,0.7469879518072289,0.9668396770472895,0.02857142857142857,0.9104477611940298,0.0196078431372549,0.2422957420349121
RF,0.1,21,1,868,0.38,0.896551724137931,0.97520184544406,0.6857142857142857,1.0,0.09803921568627451,0.24645614624023438
RF,0.1,21,2,868,0.44,0.9045226130653267,0.9701557093425606,0.6571428571428571,1.0,0.06862745098039216,0.2502739429473877
RF,0.1,21,3,868,0.47000000000000003,0.8865979381443299,0.9733756247597078,0.5428571428571428,1.0,0.058823529411764705,0.25783801078796387
RF,0.1,21,4,868,0.42000000000000004,0.8888888888888888,0.9679450211457132,0.6,1.0,0.0784313725490196,0.24637293815612793
RF,0.1,21,5,868,0.59,0.8709677419354839,0.9749134948096886,0.5142857142857142,0.9402985074626866,0.029411764705882353,0.23719501495361328
RF,0.1,21,6,868,0.61,0.8333333333333334,0.9719338715878509,0.34285714285714286,0.9402985074626866,0.029411764705882353,0.24507808685302734
RF,0.1,21,7,868,0.64,0.8524590163934426,0.9754421376393695,0.45714285714285713,0.9253731343283582,0.029411764705882353,0.24139690399169922
RF,0.1,21,8,868,0.72,0.7619047619047619,0.9658304498269895,0.02857142857142857,0.9402985074626866,0.0196078431372549,0.24519586563110352
RF,0.1,21,9,868,0.4,0.91,0.9726547481737793,0.6857142857142857,1.0,0.06862745098039216,0.24342823028564453
RF,0.25,52,0,896,0.66,0.8723404255319149,0.9822664359861593,0.5142857142857142,0.9552238805970149,0.0392156862745098,0.241530179977417
RF,0.25,52,1,896,0.37,0.9230769230769231,0.9755863129565552,0.8285714285714286,1.0,0.09803921568627451,0.2500951290130615
RF,0.25,52,2,896,0.54,0.9154228855721394,0.9803921568627451,0.7714285714285715,0.9701492537313433,0.06862745098039216,0.24858689308166504
RF,0.25,52,3,896,0.56,0.9246231155778895,0.982362552864283,0.7714285714285715,0.9701492537313433,0.049019607843137254,0.24046897888183594
RF,0.25,52,4,896,0.61,0.875,0.9779892349096502,0.5428571428571428,0.9701492537313433,0.058823529411764705,0.2435610294342041
RF,0.25,52,5,896,0.64,0.8770053475935828,0.9796712802768166,0.6,0.9104477611940298,0.029411764705882353,0.24412298202514648
RF,0.25,52,6,896,0.47000000000000003,0.9320388349514563,0.9835640138408305,0.8285714285714286,1.0,0.0784313725490196,0.25745391845703125
RF,0.25,52,7,896,0.21000000000000002,0.9174311926605505,0.9848135332564398,0.9428571428571428,1.0,0.1568627450980392,0.24445295333862305
RF,0.25,52,8,896,0.31,0.9383886255924171,0.9795751633986929,0.9142857142857143,1.0,0.09803921568627451,0.24127697944641113
RF,0.25,52,9,896,0.17,0.9090909090909091,0.9808246828143022,0.9428571428571428,1.0,0.17647058823529413,0.2410721778869629
XGB,0.0,0,0,849,0.2,0.7771428571428571,0.9299307958477508,0.02857142857142857,1.0,0.049019607843137254,2.0848419666290283
XGB,0.0,0,1,849,0.28,0.7719298245614035,0.9072472126105345,0.02857142857142857,0.9701492537313433,0.029411764705882353,2.312433958053589
XGB,0.0,0,2,849,0.38,0.7647058823529411,0.914648212226067,0.02857142857142857,0.9552238805970149,0.029411764705882353,2.124325752258301
XGB,0.0,0,3,849,0.41000000000000003,0.7692307692307693,0.9139753940792004,0.02857142857142857,0.9552238805970149,0.0196078431372549,2.12693190574646
XGB,0.0,0,4,849,0.22,0.7816091954022989,0.9014801999231065,0.05714285714285714,0.9850746268656716,0.0392156862745098,2.064953088760376
XGB,0.0,0,5,849,0.51,0.7619047619047619,0.9125336409073435,0.0,0.9552238805970149,0.0196078431372549,2.083843946456909
XGB,0.0,0,6,849,0.19,0.7771428571428571,0.9226259131103421,0.02857142857142857,1.0,0.049019607843137254,2.0521061420440674
XGB,0.0,0,7,849,0.91,0.7393939393939394,0.9222414455978469,0.0,0.9104477611940298,0.0196078431372549,2.0665481090545654
XGB,0.0,0,8,849,0.42000000000000004,0.7692307692307693,0.9059976931949251,0.0,0.9701492537313433,0.0196078431372549,2.028388023376465
XGB,0.0,0,9,849,0.4,0.7647058823529411,0.9213763936947328,0.0,0.9701492537313433,0.029411764705882353,2.119539976119995
XGB,0.1,21,0,868,0.68,0.8947368421052632,0.9813533256439831,0.5714285714285714,0.9701492537313433,0.029411764705882353,2.366014003753662
XGB,0.1,21,1,868,0.54,0.8756756756756757,0.9860630526720492,0.4857142857142857,0.9552238805970149,0.0196078431372549,2.3622589111328125
