detector,fraction,n_injected_radio,seed,n_train,threshold,f1,auroc,real_recall_radio,synth_recall_non_radio,normal_fpr,fit_time_sec
Toto (frozen),0.0,0,0,849,0.26,0.8082901554404145,0.8933102652825835,0.5142857142857142,0.8955223880597015,0.12745098039215685,0.10101771354675293
Toto (frozen),0.0,0,1,849,0.2,0.7979274611398963,0.8944636678200691,0.45714285714285713,0.9104477611940298,0.13725490196078433,0.06182599067687988
Toto (frozen),0.0,0,2,849,0.65,0.75,0.8947520184544405,0.37142857142857144,0.7910447761194029,0.0784313725490196,0.060585975646972656
Toto (frozen),0.0,0,3,849,0.21000000000000002,0.7938144329896907,0.8882160707420224,0.4857142857142857,0.8955223880597015,0.14705882352941177,0.060842037200927734
Toto (frozen),0.0,0,4,849,0.45,0.776595744680851,0.9003267973856209,0.4,0.8805970149253731,0.12745098039215685,0.060598134994506836
Toto (frozen),0.0,0,5,849,0.06999999999999999,0.8269230769230769,0.8954248366013072,0.6571428571428571,0.9402985074626866,0.19607843137254902,0.06242775917053223
Toto (frozen),0.0,0,6,849,0.09999999999999999,0.8115942028985508,0.8938869665513264,0.6,0.9402985074626866,0.20588235294117646,0.058236122131347656
Toto (frozen),0.0,0,7,849,0.08,0.8133971291866029,0.8907151095732411,0.6285714285714286,0.9402985074626866,0.21568627450980393,0.06055498123168945
Toto (frozen),0.0,0,8,849,0.12,0.8195121951219512,0.9007112648981161,0.6285714285714286,0.9253731343283582,0.18627450980392157,0.06021285057067871
Toto (frozen),0.0,0,9,849,0.29000000000000004,0.776595744680851,0.8869665513264129,0.4,0.8805970149253731,0.12745098039215685,0.059702157974243164
Toto (frozen),0.1,21,0,868,0.72,0.7734806629834254,0.9120530565167244,0.45714285714285713,0.8059701492537313,0.08823529411764706,0.06093192100524902
Toto (frozen),0.1,21,1,868,0.01,0.7871485943775101,0.9056132256824299,0.9142857142857143,0.9850746268656716,0.4803921568627451,0.06287288665771484
Toto (frozen),0.1,21,2,868,0.39,0.7807486631016043,0.896962706651288,0.4857142857142857,0.835820895522388,0.11764705882352941,0.0620882511138916
Toto (frozen),0.1,21,3,868,0.21000000000000002,0.84,0.9162821991541715,0.6,0.9402985074626866,0.13725490196078433,0.06301212310791016
Toto (frozen),0.1,21,4,868,0.16,0.8349514563106796,0.9009034986543637,0.7142857142857143,0.9104477611940298,0.17647058823529413,0.06314897537231445
Toto (frozen),0.1,21,5,868,0.14,0.8301886792452831,0.9129181084198386,0.7142857142857143,0.9402985074626866,0.21568627450980393,0.06460785865783691
Toto (frozen),0.1,21,6,868,0.11,0.8173076923076923,0.897443291041907,0.6571428571428571,0.9253731343283582,0.20588235294117646,0.06774497032165527
Toto (frozen),0.1,21,7,868,0.24000000000000002,0.8252427184466019,0.9025374855824683,0.7142857142857143,0.8955223880597015,0.18627450980392157,0.06621599197387695
Toto (frozen),0.1,21,8,868,0.09,0.8202764976958525,0.9061899269511727,0.7142857142857143,0.9552238805970149,0.2549019607843137,0.06227588653564453
Toto (frozen),0.1,21,9,868,0.2,0.7980295566502463,0.8956170703575548,0.6285714285714286,0.8805970149253731,0.19607843137254902,0.06566882133483887
Toto (frozen),0.25,52,0,896,0.25,0.8530805687203792,0.9216647443291042,0.7428571428571429,0.9552238805970149,0.18627450980392157,0.06659793853759766
Toto (frozen),0.25,52,1,896,0.37,0.8543689320388349,0.917435601691657,0.7428571428571429,0.9253731343283582,0.1568627450980392,0.06539082527160645
Toto (frozen),0.25,52,2,896,0.27,0.8415841584158416,0.9157054978854287,0.7428571428571429,0.8805970149253731,0.14705882352941177,0.06957268714904785
Toto (frozen),0.25,52,3,896,0.26,0.8472906403940886,0.9209919261822376,0.6857142857142857,0.9253731343283582,0.14705882352941177,0.06542515754699707
Toto (frozen),0.25,52,4,896,0.28,0.8133971291866029,0.90840061514802,0.7142857142857143,0.8955223880597015,0.21568627450980393,0.0698089599609375
Toto (frozen),0.25,52,5,896,0.14,0.8202764976958525,0.9147443291041908,0.7714285714285715,0.9253731343283582,0.2549019607843137,0.066802978515625
Toto (frozen),0.25,52,6,896,0.4,0.8247422680412371,0.9151287966166859,0.5714285714285714,0.8955223880597015,0.11764705882352941,0.06993293762207031
Toto (frozen),0.25,52,7,896,0.09999999999999999,0.8392857142857143,0.9037870049980776,0.8857142857142857,0.9402985074626866,0.27450980392156865,0.07198691368103027
Toto (frozen),0.25,52,8,896,0.38,0.8415841584158416,0.9081122645136486,0.6857142857142857,0.9104477611940298,0.14705882352941177,0.06723690032958984
Toto (frozen),0.25,52,9,896,0.11,0.8272727272727273,0.9050365244136871,0.8285714285714286,0.9253731343283582,0.2647058823529412,0.0636599063873291
