detector,fraction,n_injected_radio_avg,n_seeds,f1_mean,f1_std,auroc_mean,auroc_std,real_recall_mean,real_recall_std,synth_recall_mean,synth_recall_std,normal_fpr_mean,normal_fpr_std
HGB,0.0,0.0,10,0.7821974768504679,0.034386640019337215,0.9388792772010766,0.007499143300002341,0.07714285714285712,0.11574073771730908,0.9686567164179104,0.028670705540744093,0.02941176470588233,0.011600156437450226
HGB,0.1,21.0,10,0.9080883444591249,0.012057409212446236,0.9809304113802385,0.0036012930495490708,0.6714285714285715,0.05150787536377129,0.971641791044776,0.018218739724975674,0.0441176470588235,0.013334775008564162
HGB,0.25,52.0,10,0.9373783429388775,0.01293995670188203,0.985198000768935,0.002348479762182005,0.8342857142857142,0.07428571428571426,0.9880597014925373,0.013011638637434883,0.05980392156862742,0.012745098039215691
PatchTST (e2e),0.0,0.0,10,0.6087,0.12331670608640176,0.8600999999999999,0.023784238478454612,0.123,0.11771660885363629,0.6702,0.18005543590794473,0.0656,0.04036632259693716
PatchTST (e2e),0.1,21.0,10,0.6851,0.12265190581478952,0.8707,0.033430674537017646,0.2799999999999999,0.20350626525981944,0.7493000000000001,0.1584197273069235,0.093,0.050083929558292446
PatchTST (e2e),0.25,52.0,10,0.6470633137982764,0.10826901598393723,0.8768035371011148,0.033047127162772215,0.3342571428571429,0.18388420047321485,0.6372746268656717,0.14401434240225527,0.08634509803921567,0.06603524346490619
RF,0.0,0.0,10,0.7498876339932317,0.016381858779077125,0.92190984236832,0.007797426570360528,0.0,0.0,0.9507462686567163,0.04480098811881681,0.04019607843137253,0.016079626928290888
RF,0.1,21.0,10,0.8552213969610728,0.055149457874092894,0.9714292579777009,0.0033792464942763436,0.4542857142857143,0.23576189995287145,0.9656716417910449,0.03535140084276719,0.04999999999999997,0.02647058823529412
RF,0.25,52.0,10,0.9084418259647784,0.02338703501359875,0.9807045367166476,0.002574358297572306,0.7657142857142858,0.15269016246728445,0.9776119402985074,0.027722650180607055,0.08529411764705881,0.046203418305679145
TimesNet (e2e),0.0,0.0,10,0.7298867438601461,0.03699287437659791,0.8495001922337562,0.014528523177168271,0.014285714285714271,0.023035022137995836,0.9402985074626866,0.0841664010738608,0.07941176470588232,0.028566278988889148
TimesNet (e2e),0.1,21.0,10,0.8391100889104243,0.05224364709672338,0.9432045367166474,0.009824108887172528,0.4257142857142857,0.24593013774863226,0.9925373134328357,0.01797252922207804,0.09901960784313721,0.016666666666666663
TimesNet (e2e),0.25,52.0,10,0.8982226307063602,0.038569974499688714,0.9546424452133794,0.009709370032266842,0.8142857142857143,0.1424279266355945,0.9776119402985074,0.04490032524325768,0.12745098039215683,0.047828670265295956
Toto (frozen),0.0,0.0,10,0.7974650143061884,0.022498947939803185,0.893877354863514,0.004265348237857912,0.5142857142857142,0.10222025039999039,0.9,0.0427658172593863,0.15490196078431367,0.04177897206404414
Toto (frozen),0.1,21.0,10,0.8107374521118894,0.0227395025501996,0.9046520569011918,0.006876757932881297,0.6599999999999999,0.1235198075498131,0.9074626865671641,0.052046554549739374,0.20588235294117646,0.10273087762689992
Toto (frozen),0.25,52.0,10,0.836288279446712,0.013379060814551097,0.9131007304882738,0.006056042204549429,0.7371428571428572,0.08060991988380507,0.917910447761194,0.021369882183994535,0.19117647058823523,0.05427690406143692
XGB,0.0,0.0,10,0.7676996738715538,0.011167479908179276,0.9152056901191848,0.008396105021985385,0.019999999999999962,0.01829464067837954,0.9671641791044776,0.024795892128113676,0.030392156862745066,0.011135114403529931
XGB,0.1,21.0,10,0.8989082574538569,0.02499159947811402,0.9799211841599383,0.003537166411145309,0.6371428571428571,0.12391570538400824,0.9686567164179104,0.029437437198979146,0.045098039215686246,0.026379654994262175
XGB,0.25,52.0,10,0.9231413796470653,0.011709225790971485,0.9854575163398692,0.002018019579307319,0.7971428571428573,0.09253791280400941,0.9791044776119403,0.01791044776119408,0.06862745098039212,0.03131121455425747
